Cryptocurrency,Buy,Sell,Percentage,Buying fee,Selling fee,Fees,Expected profit
toncoin,BigOne,Bybit,3.69,0.2,0.1,0.30000000000000004,3.3899999999999997
toncoin,BigOne,OKX,3.59,0.2,0.1,0.30000000000000004,3.29
toncoin,BigOne,Kucoin,3.56,0.2,0.1,0.30000000000000004,3.26
toncoin,BigOne,BitMart,3.55,0.2,0.1,0.30000000000000004,3.25
toncoin,BigOne,MEXC,3.55,0.2,0.1,0.30000000000000004,3.25
toncoin,BigOne,Bitget,3.51,0.2,0.1,0.30000000000000004,3.21
toncoin,BigOne,Coinsbit,3.6,0.2,0.2,0.4,3.2
toncoin,BigOne,HTX,3.51,0.2,0.2,0.4,3.11
polkadot,Kucoin,Xeggex,1.48,0.1,0.2,0.30000000000000004,1.18
polkadot,P2B,Xeggex,1.44,0.2,0.2,0.4,1.04
shiba-inu,MEXC,Xeggex,1.3,0.1,0.2,0.30000000000000004,1.0
shiba-inu,Bitget,Xeggex,1.29,0.1,0.2,0.30000000000000004,0.99
shiba-inu,BYDFi,Xeggex,1.34,0.2,0.2,0.4,0.9400000000000001
bnb,Phemex,BigOne,1.22,0.1,0.2,0.30000000000000004,0.9199999999999999
bnb,OKX,BigOne,1.22,0.1,0.2,0.30000000000000004,0.9199999999999999
shiba-inu,HTX,Xeggex,1.25,0.2,0.2,0.4,0.85
shiba-inu,CoinW,Xeggex,1.25,0.2,0.2,0.4,0.85
bnb,Poloniex,BigOne,1.23,0.2,0.2,0.4,0.83
bnb,Bitget,BigOne,1.11,0.1,0.2,0.30000000000000004,0.81
