Wtihdraw USDT to,Network USDT,Exchange to Buy,Cryptocurrency,Symbol,Wtihdraw COIN to,Network COIN,Exchange to Sell,Expected profit
0xc230480b860Fc8388100b1DEAdc1509F90E51F31,avax c-chain,Xeggex,polkadot,DOT,NA,NA,Bybit,2.2299999999999995
0xc230480b860Fc8388100b1DEAdc1509F90E51F31,avax c-chain,Xeggex,polkadot,DOT,NA,NA,Bitget,1.97
0xc230480b860Fc8388100b1DEAdc1509F90E51F31,avax c-chain,Xeggex,polkadot,DOT,NA,NA,Phemex,1.97
0xc230480b860Fc8388100b1DEAdc1509F90E51F31,avax c-chain,Xeggex,polkadot,DOT,NA,NA,BYDFi,1.96
0xc230480b860Fc8388100b1DEAdc1509F90E51F31,avax c-chain,Xeggex,polkadot,DOT,NA,NA,Kucoin,1.9200000000000002
0xc230480b860Fc8388100b1DEAdc1509F90E51F31,avax c-chain,Xeggex,polkadot,DOT,NA,NA,HTX,1.85
0xc230480b860Fc8388100b1DEAdc1509F90E51F31,avax c-chain,Xeggex,polkadot,DOT,NA,NA,P2B,1.83
0x4c5fd540255e15386ee921c019653a6276d3fdbe,avax c-chain,Binance,cardano,ADA,NA,NA,Coinsbit,0.81
0x4c09109971cf7b1743dac963787b44c04776b3e6,avax c-chain,Bybit,cardano,ADA,NA,NA,Coinsbit,0.78
0x6028661bc2c9c4be88bd47fe02751769912ac41a,bep20,Phemex,cardano,ADA,NA,NA,Coinsbit,0.76
0xdf77443dab142ac00ba4573c1998c0fcb0a33c55,bep20,Kucoin,cardano,ADA,NA,NA,Coinsbit,0.74
0x11cb0aa2ff22b42d8abcc61c199dd0faaad84d2e,bep20,BingX,cardano,ADA,NA,NA,Coinsbit,0.74
0xdfb957d37135e82f2a2bf207c0420d5da29b40ea,avax c-chain,OKX,cardano,ADA,NA,NA,Coinsbit,0.72
0x4c5fd540255e15386ee921c019653a6276d3fdbe,avax c-chain,Binance,bitcoin-cash,BCH,18ZU9Snw6pa7vKQHnrtxG1KyYitKPYnvbX,bch,Bybit,0.6799999999999999
0x6028661bc2c9c4be88bd47fe02751769912ac41a,bep20,Phemex,bitcoin-cash,BCH,NA,NA,Bybit,0.6499999999999999
0x6028661bc2c9c4be88bd47fe02751769912ac41a,bep20,Phemex,tron,TRX,TUaKGjmWgQPB2eq7DGkxKmZqFqPXpdmekc,trc20,Xeggex,0.63
0xdf77443dab142ac00ba4573c1998c0fcb0a33c55,bep20,Kucoin,tron,TRX,TUaKGjmWgQPB2eq7DGkxKmZqFqPXpdmekc,trc20,Xeggex,0.63
0x11cb0aa2ff22b42d8abcc61c199dd0faaad84d2e,bep20,BingX,tron,TRX,TUaKGjmWgQPB2eq7DGkxKmZqFqPXpdmekc,trc20,Xeggex,0.62
0x5b5132307053DF3B61F7DBCe3EB4a1C20367798c,bep20,BTSE,cardano,ADA,NA,NA,Coinsbit,0.61
0xad8a7a4cc165f3da5d37259f149c20f5281ac771,avax c-chain,HTX,cardano,ADA,NA,NA,Coinsbit,0.6
