Cryptocurrency,Arbitrage data,Indexes
bnb,"defaultdict(<class 'list'>, {'bigone': [1.46, 1.45, 1.44, 1.39, 1.39, 1.39, 1.38, 1.38, 1.35, 1.35, 1.34, 1.33], 'bitmart': [0.25, 0.24, 0.23, 0.19, 0.19, 0.19, 0.17, 0.17, 0.14, 0.14, 0.14, 0.12], 'tidex': [0.23, 0.22, 0.21, 0.16, 0.16, 0.16, 0.15, 0.15, 0.12, 0.12, 0.11, 0.1], 'oceanex': [0.21, 0.2, 0.19, 0.14, 0.14, 0.14, 0.13, 0.13, 0.09, 0.09, 0.09, 0.08], 'bydfi': [0.2, 0.18, 0.18, 0.13, 0.13, 0.13, 0.12, 0.11, 0.08, 0.08, 0.08, 0.06], 'digifinex': [0.2, 0.18, 0.18, 0.13, 0.13, 0.13, 0.12, 0.11, 0.08, 0.08, 0.08, 0.06], 'cryptology': [0.19, 0.18, 0.17, 0.12, 0.12, 0.12, 0.11, 0.11, 0.08, 0.08, 0.07, 0.06], 'mxc': [0.18, 0.17, 0.16, 0.11, 0.11, 0.11, 0.1, 0.1, 0.06, 0.06, 0.06, 0.05], 'bingx': [0.18, 0.17, 0.16, 0.11, 0.11, 0.11, 0.1, 0.09, 0.06, 0.06, 0.06, 0.05], 'huobipro': [0.17, 0.16, 0.16, 0.11, 0.11, 0.11, 0.1, 0.09, 0.06, 0.06, 0.06, 0.04], 'btse': [0.17, 0.16, 0.15, 0.1, 0.1, 0.1, 0.09, 0.09, 0.05, 0.05, 0.05, 0.04], 'bitget': [0.16, 0.15, 0.15, 0.1, 0.1, 0.1, 0.09, 0.08, 0.05, 0.05, 0.05, 0.03]})","xeggex,nonkyc,binance-us,latoken,bybit-spot,binance,kucoin,probit,bitmax,gateio,poloniex,phemex-spot"
solana,"defaultdict(<class 'list'>, {'poloniex': [6.48, 5.86, 5.83, 5.7, 5.69, 5.67, 5.67, 5.65, 5.63, 5.61, 5.59, 5.59], 'binance-us': [1.31, 0.66, 0.63, 0.5, 0.49, 0.46, 0.46, 0.44, 0.42, 0.4, 0.38, 0.38], 'coinlist': [1.57, 0.92, 0.89, 0.76, 0.74, 0.72, 0.72, 0.7, 0.68, 0.66, 0.64, 0.63], 'bitmax': [1.45, 0.8, 0.77, 0.64, 0.62, 0.6, 0.6, 0.58, 0.56, 0.54, 0.52, 0.51], 'coinex': [1.36, 0.71, 0.68, 0.55, 0.54, 0.52, 0.51, 0.49, 0.47, 0.45, 0.43, 0.43], 'exmo': [1.32, 0.67, 0.64, 0.51, 0.5, 0.47, 0.47, 0.45, 0.43, 0.41, 0.39, 0.39], 'bitmart': [1.28, 0.63, 0.6, 0.46, 0.45, 0.43, 0.42, 0.41, 0.39, 0.37, 0.34, 0.34], 'coinbasepro': [1.26, 0.61, 0.58, 0.44, 0.43, 0.41, 0.4, 0.38, 0.37, 0.35, 0.32, 0.32]})","bitmex-spot,cex,kucoin,poloniex,gateio,mxc,coinbasepro,coinbasepro,bitfinex,huobipro,bitmax,bydfi"
lido-staked-ether,"defaultdict(<class 'list'>, {'bitget': [0.49, 0.42, 0.31, 0.002, -0.31, -0.42, -0.43, 0.0], 'okx': [0.42, 0.42, 0.31, -0.31, -0.41, -0.42, -0.07, 0.0], 'mxc': [0.42, 0.41, 0.3, -0.41, -0.41, 0.07, -0.08, 0.0], 'bingx': [0.41, 0.41, -0.1, -0.41, 0.08, -0.01, -0.08, 0.0], 'bybit-spot': [0.41, 0.1, -0.1, 0.08, 0.01, -0.01, -0.09, 0.0], 'huobipro': [0.1, 0.0, 0.09, 0.01, -0.01, -0.02, -0.39, 0.0], 'gateio': [0.0, 0.39, 0.02, 0.01, -0.01, -0.32, -0.5, 0.0], 'latoken': [0.49, 0.32, 0.01, -0.002, -0.32, -0.43, -0.5, 0.0]})","latoken,gateio,huobipro,bybit-spot,bingx,mxc,okx,bitget"
ripple,"defaultdict(<class 'list'>, {'fatbtc': [39.8, 39.8, 39.7, 39.7, 39.7, 39.7, 39.7, 39.7, 39.7, 39.7, 39.7, 39.7], 'cex': [1.07, 1.07, 0.93, 0.87, 0.83, 0.83, 0.83, 0.83, 0.83, 0.82, 0.82, 0.82], 'phemex-spot': [0.36, 0.36, 0.22, 0.16, 0.12, 0.12, 0.12, 0.12, 0.12, 0.11, 0.11, 0.11], 'binance-us': [0.36, 0.36, 0.22, 0.16, 0.12, 0.12, 0.12, 0.12, 0.12, 0.11, 0.11, 0.11], 'bitstamp': [0.33, 0.32, 0.19, 0.13, 0.09, 0.09, 0.09, 0.09, 0.08, 0.08, 0.07, 0.07], 'btcturk-pro': [0.32, 0.32, 0.18, 0.12, 0.08, 0.08, 0.08, 0.08, 0.08, 0.07, 0.07, 0.07], 'bydfi': [0.3, 0.3, 0.16, 0.1, 0.06, 0.06, 0.06, 0.06, 0.06, 0.05, 0.05, 0.05], 'crypto-com': [0.3, 0.29, 0.16, 0.1, 0.06, 0.06, 0.06, 0.06, 0.05, 0.05, 0.04, 0.04], 'exmo': [0.3, 0.29, 0.15, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.04, 0.04], 'bitget': [0.28, 0.28, 0.14, 0.08, 0.04, 0.04, 0.04, 0.04, 0.04, 0.03, 0.03, 0.03], 'gateio': [0.27, 0.27, 0.13, 0.07, 0.03, 0.03, 0.03, 0.03, 0.02, 0.02, 0.02, 0.02], 'coinsbit': [0.26, 0.26, 0.12, 0.06, 0.02, 0.02, 0.02, 0.02, 0.02, 0.01, 0.01, 0.01]})","xeggex,yobit,btcalpha,bitmax,coinbasepro,bingx,okx,binance,kraken,oceanex,kucoin,huobipro"
dogecoin,"defaultdict(<class 'list'>, {'fmfwio': [0.71, 0.64, 0.58, 0.45, 0.45, 0.45, 0.44, 0.43, 0.43, 0.43, 0.41, 0.4], 'bitmax': [0.6, 0.53, 0.48, 0.34, 0.34, 0.34, 0.33, 0.33, 0.33, 0.32, 0.31, 0.29], 'binance-us': [0.6, 0.53, 0.48, 0.34, 0.34, 0.34, 0.33, 0.33, 0.33, 0.32, 0.31, 0.29], 'phemex-spot': [0.57, 0.5, 0.45, 0.31, 0.31, 0.31, 0.31, 0.3, 0.3, 0.29, 0.28, 0.27], 'kraken': [0.56, 0.49, 0.44, 0.3, 0.3, 0.3, 0.29, 0.29, 0.29, 0.28, 0.27, 0.25], 'btcturk-pro': [0.49, 0.42, 0.36, 0.23, 0.23, 0.23, 0.22, 0.21, 0.21, 0.21, 0.19, 0.18], 'tidex': [0.46, 0.39, 0.33, 0.2, 0.2, 0.2, 0.19, 0.18, 0.18, 0.18, 0.16, 0.15], 'okx': [0.4, 0.33, 0.28, 0.14, 0.14, 0.14, 0.14, 0.13, 0.13, 0.12, 0.11, 0.1], 'huobipro': [0.39, 0.32, 0.26, 0.13, 0.13, 0.13, 0.12, 0.11, 0.11, 0.11, 0.09, 0.08], 'oceanex': [0.38, 0.31, 0.26, 0.12, 0.12, 0.12, 0.12, 0.11, 0.11, 0.1, 0.09, 0.08], 'bydfi': [0.38, 0.31, 0.26, 0.12, 0.12, 0.12, 0.12, 0.11, 0.11, 0.1, 0.09, 0.08], 'bitget': [0.38, 0.31, 0.25, 0.12, 0.12, 0.12, 0.11, 0.1, 0.1, 0.1, 0.08, 0.07]})","xeggex,yobit,probit,coinlist,coinbasepro,bingx,binance,coinw,exmo,bybit-spot,fastex,bigone"
toncoin,"defaultdict(<class 'list'>, {'gateio': [0.66, 0.56, 0.54, 0.45, 0.43, 0.41, 0.39, 0.3, 0.27, 0.22, 0.05, 0.03], 'bitrue': [0.64, 0.54, 0.52, 0.43, 0.41, 0.39, 0.37, 0.29, 0.23, 0.05, 0.04, -0.01], 'kucoin': [0.63, 0.53, 0.51, 0.42, 0.4, 0.38, 0.36, 0.25, 0.07, 0.04, 0.01, -0.01], 'bigone': [0.6, 0.5, 0.47, 0.38, 0.36, 0.34, 0.32, 0.09, 0.05, 0.01, 0.0, -0.03], 'coinw': [0.43, 0.33, 0.3, 0.22, 0.19, 0.17, 0.15, 0.07, 0.03, 0.0, -0.01, -0.05], 'mxc': [0.42, 0.32, 0.29, 0.2, 0.18, 0.16, 0.14, 0.05, 0.01, -0.01, -0.03, -0.11], 'huobipro': [0.39, 0.29, 0.26, 0.18, 0.15, 0.13, 0.11, 0.03, 0.01, -0.03, -0.1, 0.0], 'bitmart': [0.38, 0.28, 0.25, 0.16, 0.14, 0.12, 0.1, 0.03, -0.02, -0.1, 0.28, 0.0], 'bitmax': [0.38, 0.28, 0.25, 0.16, 0.14, 0.12, 0.1, 0.02, -0.08, 0.29, 0.26, 0.0], 'bingx': [0.36, 0.26, 0.24, 0.15, 0.13, 0.11, 0.08, -0.06, 0.29, 0.27, 0.25, 0.0], 'cryptology': [0.34, 0.24, 0.22, 0.13, 0.11, 0.08, 0.06, 0.3, 0.27, 0.26, 0.21, 0.0], 'bybit-spot': [0.28, 0.18, 0.15, 0.07, 0.04, 0.02, 0.32, 0.28, 0.26, 0.22, 0.04, 0.0]})","bitget,okx,lbank,coinex,coinsbit,exmo,bybit-spot,cryptology,bingx,bitmax,bitmart,huobipro"
cardano,"defaultdict(<class 'list'>, {'xeggex': [5.91, 1.24, 0.55, 0.46, 0.44, 0.44, 0.42, 0.41, 0.39, 0.39, 0.39, 0.38], 'nonkyc': [5.82, 1.14, 0.46, 0.36, 0.34, 0.34, 0.32, 0.31, 0.3, 0.3, 0.3, 0.28], 'kraken': [5.67, 0.98, 0.29, 0.2, 0.18, 0.18, 0.16, 0.15, 0.13, 0.13, 0.13, 0.12], 'btse': [5.66, 0.97, 0.29, 0.19, 0.17, 0.17, 0.15, 0.14, 0.13, 0.13, 0.13, 0.11], 'binance': [5.65, 0.96, 0.27, 0.18, 0.16, 0.16, 0.14, 0.13, 0.11, 0.11, 0.11, 0.1], 'tidex': [5.65, 0.96, 0.27, 0.18, 0.16, 0.16, 0.14, 0.13, 0.11, 0.11, 0.11, 0.1], 'bitrue': [5.65, 0.96, 0.27, 0.18, 0.16, 0.16, 0.14, 0.13, 0.11, 0.11, 0.11, 0.1], 'exmo': [5.64, 0.95, 0.26, 0.17, 0.15, 0.15, 0.13, 0.12, 0.1, 0.1, 0.1, 0.09], 'bybit-spot': [5.63, 0.94, 0.25, 0.16, 0.14, 0.14, 0.11, 0.11, 0.09, 0.09, 0.09, 0.07], 'bingx': [5.63, 0.94, 0.25, 0.16, 0.14, 0.14, 0.11, 0.11, 0.09, 0.09, 0.09, 0.07], 'mxc': [5.6, 0.91, 0.23, 0.14, 0.12, 0.11, 0.09, 0.08, 0.07, 0.07, 0.07, 0.05], 'kucoin': [5.6, 0.91, 0.23, 0.14, 0.12, 0.11, 0.09, 0.08, 0.07, 0.07, 0.07, 0.05]})","upbit,cex,coinbasepro,gateio,oceanex,coinex,p2pb2b,coinsbit,btcturk-pro,phemex-spot,okx,bitget"
shiba-inu,"defaultdict(<class 'list'>, {'cex': [13.2, 9.3, 9.24, 9.24, 9.22, 9.21, 9.21, 9.21, 9.18, 9.18, 9.17, 9.17], 'xeggex': [5.93, 1.74, 1.68, 1.68, 1.66, 1.65, 1.65, 1.65, 1.62, 1.62, 1.6, 1.6], 'cryptology': [4.87, 0.64, 0.58, 0.58, 0.56, 0.55, 0.55, 0.55, 0.51, 0.51, 0.5, 0.5], 'exmo': [4.74, 0.5, 0.44, 0.44, 0.42, 0.41, 0.41, 0.41, 0.37, 0.37, 0.36, 0.36], 'phemex-spot': [4.7, 0.45, 0.39, 0.39, 0.37, 0.36, 0.36, 0.36, 0.33, 0.33, 0.32, 0.32], 'kraken': [4.65, 0.41, 0.35, 0.35, 0.33, 0.32, 0.32, 0.32, 0.28, 0.28, 0.27, 0.27], 'bitmax': [4.61, 0.36, 0.3, 0.3, 0.28, 0.27, 0.27, 0.27, 0.24, 0.24, 0.23, 0.23], 'p2pb2b': [4.52, 0.27, 0.21, 0.21, 0.19, 0.18, 0.18, 0.18, 0.15, 0.15, 0.14, 0.14], 'huobipro': [4.52, 0.27, 0.21, 0.21, 0.19, 0.18, 0.18, 0.18, 0.15, 0.15, 0.14, 0.14], 'okx': [4.48, 0.23, 0.17, 0.17, 0.15, 0.14, 0.14, 0.14, 0.1, 0.1, 0.09, 0.09], 'coinbasepro': [4.48, 0.23, 0.17, 0.17, 0.15, 0.14, 0.14, 0.14, 0.1, 0.1, 0.09, 0.09], 'btcturk-pro': [4.48, 0.23, 0.17, 0.17, 0.15, 0.14, 0.14, 0.14, 0.1, 0.1, 0.09, 0.09]})","probit,indodax,kucoin,coinex,bigone,deepcoin,bingx,gateio,coinw,bybit-spot,binance-us,fastex"
avalanche,"defaultdict(<class 'list'>, {'whitebit': [0.83, 0.6, 0.5, 0.36, 0.31, 0.29, 0.27, 0.23, 0.2, 0.2, 0.19, 0.17], 'bybit-spot': [0.8, 0.56, 0.47, 0.32, 0.28, 0.26, 0.24, 0.2, 0.17, 0.17, 0.15, 0.14], 'coinw': [0.79, 0.56, 0.46, 0.32, 0.27, 0.25, 0.23, 0.19, 0.16, 0.16, 0.15, 0.13], 'binance': [0.78, 0.55, 0.45, 0.31, 0.26, 0.24, 0.22, 0.18, 0.15, 0.15, 0.14, 0.12], 'bingx': [0.78, 0.55, 0.45, 0.31, 0.26, 0.24, 0.22, 0.18, 0.15, 0.15, 0.14, 0.12], 'poloniex': [0.78, 0.55, 0.45, 0.31, 0.26, 0.24, 0.22, 0.18, 0.15, 0.15, 0.13, 0.12], 'tidex': [0.78, 0.54, 0.44, 0.3, 0.26, 0.23, 0.22, 0.17, 0.14, 0.14, 0.13, 0.12], 'kucoin': [0.77, 0.54, 0.44, 0.3, 0.25, 0.23, 0.21, 0.17, 0.14, 0.14, 0.13, 0.11], 'kraken': [0.75, 0.52, 0.42, 0.28, 0.23, 0.21, 0.19, 0.15, 0.12, 0.12, 0.11, 0.09], 'bigone': [0.72, 0.49, 0.39, 0.25, 0.2, 0.18, 0.16, 0.12, 0.09, 0.09, 0.08, 0.06], 'bydfi': [0.72, 0.49, 0.39, 0.25, 0.2, 0.18, 0.16, 0.12, 0.09, 0.09, 0.08, 0.06], 'coinex': [0.72, 0.49, 0.39, 0.25, 0.2, 0.18, 0.16, 0.12, 0.09, 0.09, 0.08, 0.06]})","nonkyc,xeggex,bitmax,coinsbit,coinlist,coinbasepro,btse,latoken,phemex-spot,bitmart,fmfwio,digifinex"
chainlink,"defaultdict(<class 'list'>, {'cex': [13.5, 12.6, 12.2, 12.2, 12.2, 12.2, 12.2, 12.1, 12.1, 12.1, 12.1, 12.1], 'nonkyc': [1.95, 0.97, 0.51, 0.46, 0.44, 0.44, 0.43, 0.42, 0.42, 0.42, 0.41, 0.4], 'probit': [1.71, 0.73, 0.26, 0.22, 0.2, 0.19, 0.19, 0.18, 0.17, 0.17, 0.16, 0.16], 'okx': [1.66, 0.68, 0.22, 0.17, 0.15, 0.15, 0.14, 0.13, 0.13, 0.12, 0.12, 0.11], 'kraken': [1.66, 0.68, 0.22, 0.17, 0.15, 0.15, 0.14, 0.13, 0.12, 0.12, 0.11, 0.11], 'crypto-com': [1.65, 0.67, 0.21, 0.16, 0.14, 0.14, 0.13, 0.12, 0.11, 0.11, 0.1, 0.1], 'bydfi': [1.65, 0.67, 0.21, 0.16, 0.14, 0.14, 0.13, 0.12, 0.11, 0.11, 0.1, 0.1], 'bitget': [1.65, 0.67, 0.21, 0.16, 0.14, 0.14, 0.13, 0.12, 0.11, 0.11, 0.1, 0.1], 'coinex': [1.65, 0.67, 0.2, 0.16, 0.14, 0.13, 0.13, 0.12, 0.11, 0.11, 0.1, 0.1], 'bitmax': [1.64, 0.66, 0.2, 0.15, 0.13, 0.13, 0.13, 0.11, 0.11, 0.11, 0.1, 0.1], 'bitrue': [1.64, 0.66, 0.2, 0.15, 0.13, 0.13, 0.12, 0.11, 0.11, 0.11, 0.1, 0.1], 'poloniex': [1.63, 0.65, 0.19, 0.14, 0.12, 0.12, 0.11, 0.1, 0.09, 0.09, 0.09, 0.08]})","bitmex-spot,btcturk-pro,binance-us,fmfwio,coinw,phemex-spot,binance,bingx,oceanex,exmo,kucoin,coinlist"
tron,"defaultdict(<class 'list'>, {'cex': [5.21, 2.38, 1.88, 1.86, 1.85, 1.84, 1.69, 1.68, 1.64, 1.64, 1.64, 1.64], 'xeggex': [3.8, 0.93, 0.42, 0.4, 0.39, 0.38, 0.23, 0.22, 0.18, 0.18, 0.18, 0.18], 'phemex-spot': [3.75, 0.87, 0.36, 0.34, 0.33, 0.32, 0.17, 0.16, 0.12, 0.12, 0.12, 0.12], 'btcalpha': [3.74, 0.86, 0.35, 0.33, 0.32, 0.31, 0.16, 0.15, 0.11, 0.11, 0.11, 0.11], 'exmo': [3.71, 0.83, 0.32, 0.3, 0.29, 0.28, 0.13, 0.12, 0.08, 0.08, 0.08, 0.08], 'okx': [3.68, 0.8, 0.29, 0.27, 0.26, 0.25, 0.1, 0.09, 0.05, 0.05, 0.05, 0.05], 'mxc': [3.67, 0.79, 0.28, 0.27, 0.25, 0.24, 0.09, 0.08, 0.04, 0.04, 0.04, 0.04], 'bybit-spot': [3.66, 0.78, 0.27, 0.26, 0.24, 0.23, 0.08, 0.07, 0.03, 0.03, 0.03, 0.03], 'kucoin': [3.66, 0.78, 0.27, 0.26, 0.24, 0.23, 0.08, 0.07, 0.03, 0.03, 0.03, 0.03], 'fastex': [3.66, 0.78, 0.27, 0.26, 0.24, 0.23, 0.08, 0.07, 0.03, 0.03, 0.03, 0.03], 'poloniex': [3.65, 0.77, 0.26, 0.24, 0.23, 0.21, 0.07, 0.06, 0.02, 0.02, 0.02, 0.01], 'latoken': [3.65, 0.77, 0.26, 0.24, 0.23, 0.21, 0.07, 0.06, 0.02, 0.02, 0.02, 0.01]})","fatbtc,upbit,btcturk-pro,bitmex-spot,nonkyc,probit,cryptology,btse,bingx,gateio,coinsbit,coinex"
bitcoin-cash,"defaultdict(<class 'list'>, {'cex': [16.7, 9.7, 9.69, 9.65, 9.63, 9.63, 9.63, 9.63, 9.63, 9.63, 9.62, 9.61], 'xeggex': [8.0, 0.26, 0.25, 0.21, 0.19, 0.19, 0.19, 0.18, 0.18, 0.18, 0.18, 0.17], 'whitebit': [7.99, 0.24, 0.24, 0.19, 0.17, 0.17, 0.17, 0.17, 0.17, 0.17, 0.16, 0.15], 'nonkyc': [7.98, 0.24, 0.23, 0.18, 0.17, 0.16, 0.16, 0.16, 0.16, 0.16, 0.15, 0.14], 'phemex-spot': [7.9, 0.14, 0.14, 0.09, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.06, 0.05], 'probit': [7.89, 0.13, 0.13, 0.08, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.05, 0.04], 'bitrue': [7.88, 0.13, 0.12, 0.07, 0.06, 0.05, 0.05, 0.05, 0.05, 0.05, 0.04, 0.04], 'binance': [7.88, 0.12, 0.11, 0.07, 0.05, 0.05, 0.05, 0.04, 0.04, 0.04, 0.04, 0.03], 'okx': [7.88, 0.12, 0.11, 0.07, 0.05, 0.05, 0.05, 0.04, 0.04, 0.04, 0.04, 0.03], 'bybit-spot': [7.88, 0.12, 0.11, 0.07, 0.05, 0.05, 0.05, 0.04, 0.04, 0.04, 0.04, 0.03], 'fastex': [7.88, 0.12, 0.11, 0.07, 0.05, 0.05, 0.05, 0.04, 0.04, 0.04, 0.04, 0.03], 'kucoin': [7.87, 0.12, 0.11, 0.06, 0.05, 0.04, 0.04, 0.04, 0.04, 0.04, 0.03, 0.02]})","upbit,bitmax,kraken,tidex,bitget,crypto-com,huobipro,binance-us,bydfi,digifinex,gateio,oceanex"
polkadot,"defaultdict(<class 'list'>, {'xeggex': [26.5, 3.16, 1.69, 1.68, 1.62, 1.59, 1.54, 1.53, 1.51, 1.51, 1.5, 1.5], 'exmo': [25.9, 2.31, 0.83, 0.82, 0.76, 0.72, 0.68, 0.67, 0.65, 0.65, 0.64, 0.64], 'btcturk-pro': [25.8, 2.21, 0.73, 0.72, 0.65, 0.62, 0.58, 0.57, 0.55, 0.55, 0.54, 0.53], 'kraken': [25.5, 1.86, 0.37, 0.37, 0.3, 0.27, 0.22, 0.21, 0.2, 0.2, 0.18, 0.18], 'binance-us': [25.5, 1.8, 0.31, 0.31, 0.24, 0.21, 0.16, 0.15, 0.13, 0.13, 0.12, 0.12], 'coinbasepro': [25.5, 1.79, 0.3, 0.29, 0.22, 0.19, 0.15, 0.14, 0.12, 0.12, 0.11, 0.1], 'coinlist': [25.5, 1.77, 0.28, 0.27, 0.2, 0.17, 0.13, 0.12, 0.1, 0.1, 0.09, 0.08], 'bydfi': [25.5, 1.76, 0.27, 0.26, 0.19, 0.16, 0.12, 0.11, 0.09, 0.09, 0.08, 0.07], 'bitget': [25.5, 1.76, 0.27, 0.26, 0.19, 0.16, 0.12, 0.11, 0.09, 0.09, 0.08, 0.07], 'huobipro': [25.5, 1.75, 0.26, 0.26, 0.19, 0.16, 0.11, 0.1, 0.08, 0.08, 0.07, 0.07], 'crypto-com': [25.5, 1.75, 0.26, 0.25, 0.19, 0.16, 0.11, 0.1, 0.08, 0.08, 0.07, 0.07], 'fastex': [25.4, 1.73, 0.24, 0.23, 0.16, 0.13, 0.09, 0.08, 0.06, 0.06, 0.05, 0.04]})","coinegg,cex,phemex-spot,bitmax,cryptology,coinex,tidex,oceanex,gateio,okx,kucoin,bingx"
