,coinsbit,nonkyc,kraken,poloniex,bingx,latoken,bybit-spot,bigone,coinex,binance-us,coinlist,coinw
bitmax,0.68,0.55,0.54,0.47,0.45,0.45,0.44,0.42,0.42,0.42,0.4,0.4
xeggex,0.53,0.39,0.39,0.32,0.3,0.3,0.29,0.27,0.27,0.27,0.24,0.24
bitrue,0.38,0.24,0.24,0.17,0.15,0.15,0.14,0.12,0.12,0.12,0.1,0.09
btcturk-pro,0.38,0.24,0.24,0.17,0.15,0.15,0.14,0.12,0.12,0.12,0.1,0.09
mxc,0.38,0.24,0.24,0.17,0.15,0.15,0.14,0.12,0.12,0.12,0.1,0.09
fmfwio,0.37,0.23,0.23,0.15,0.14,0.14,0.13,0.11,0.11,0.11,0.08,0.08
btse,0.36,0.23,0.22,0.15,0.13,0.13,0.12,0.1,0.1,0.1,0.08,0.08
bitget,0.36,0.22,0.21,0.14,0.12,0.12,0.12,0.09,0.09,0.09,0.07,0.07
crypto-com,0.36,0.22,0.21,0.14,0.12,0.12,0.11,0.09,0.09,0.09,0.07,0.07
digifinex,0.35,0.22,0.21,0.14,0.12,0.12,0.11,0.09,0.09,0.09,0.07,0.07
bitmart,0.35,0.22,0.21,0.14,0.12,0.12,0.11,0.09,0.09,0.09,0.07,0.06
bydfi,0.35,0.21,0.21,0.14,0.12,0.12,0.11,0.09,0.09,0.09,0.07,0.06
