,poloniex,coinex,okx,bybit-spot,gateio,binance-us,binance,bingx,phemex-spot,latoken,crypto-com,fmfwio
btcturk-pro,0.9,0.84,0.79,0.78,0.78,0.78,0.75,0.75,0.75,0.72,0.72,0.7
nonkyc,0.78,0.72,0.67,0.67,0.66,0.66,0.63,0.63,0.63,0.6,0.6,0.58
xeggex,0.54,0.49,0.43,0.43,0.43,0.43,0.4,0.4,0.4,0.37,0.36,0.34
bitmax,0.48,0.42,0.37,0.36,0.36,0.36,0.33,0.33,0.33,0.3,0.3,0.27
whitebit,0.43,0.38,0.32,0.32,0.32,0.32,0.29,0.29,0.29,0.26,0.25,0.23
bitrue,0.39,0.33,0.28,0.27,0.27,0.27,0.24,0.24,0.24,0.21,0.21,0.18
bitmart,0.36,0.3,0.25,0.24,0.24,0.24,0.21,0.21,0.21,0.18,0.18,0.16
mxc,0.36,0.3,0.25,0.24,0.24,0.24,0.21,0.21,0.21,0.18,0.18,0.15
tidex,0.36,0.3,0.25,0.24,0.24,0.24,0.21,0.21,0.21,0.18,0.18,0.15
bitget,0.36,0.3,0.25,0.24,0.24,0.24,0.21,0.21,0.21,0.18,0.18,0.15
huobipro,0.35,0.29,0.24,0.23,0.23,0.23,0.2,0.2,0.2,0.17,0.17,0.14
digifinex,0.34,0.29,0.24,0.23,0.23,0.23,0.2,0.2,0.2,0.17,0.16,0.14
