,whitebit,bybit-spot,coinw,binance,bingx,poloniex,tidex,kucoin,kraken,bigone,bydfi,coinex
nonkyc,0.83,0.8,0.79,0.78,0.78,0.78,0.78,0.77,0.75,0.72,0.72,0.72
xeggex,0.6,0.56,0.56,0.55,0.55,0.55,0.54,0.54,0.52,0.49,0.49,0.49
bitmax,0.5,0.47,0.46,0.45,0.45,0.45,0.44,0.44,0.42,0.39,0.39,0.39
coinsbit,0.36,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.28,0.25,0.25,0.25
coinlist,0.31,0.28,0.27,0.26,0.26,0.26,0.26,0.25,0.23,0.2,0.2,0.2
coinbasepro,0.29,0.26,0.25,0.24,0.24,0.24,0.23,0.23,0.21,0.18,0.18,0.18
btse,0.27,0.24,0.23,0.22,0.22,0.22,0.22,0.21,0.19,0.16,0.16,0.16
latoken,0.23,0.2,0.19,0.18,0.18,0.18,0.17,0.17,0.15,0.12,0.12,0.12
phemex-spot,0.2,0.17,0.16,0.15,0.15,0.15,0.14,0.14,0.12,0.09,0.09,0.09
bitmart,0.2,0.17,0.16,0.15,0.15,0.15,0.14,0.14,0.12,0.09,0.09,0.09
fmfwio,0.19,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.11,0.08,0.08,0.08
digifinex,0.17,0.14,0.13,0.12,0.12,0.12,0.12,0.11,0.09,0.06,0.06,0.06
