,kucoin,coinex,okx,coinw,btse,bigone,bitrue,crypto-com,fmfwio,bybit-spot,tidex,kraken
nonkyc,0.62,0.62,0.61,0.61,0.56,0.55,0.55,0.54,0.53,0.49,0.48,0.48
bitmart,0.6,0.59,0.59,0.59,0.53,0.52,0.52,0.52,0.5,0.46,0.45,0.45
bitmax,0.56,0.56,0.55,0.55,0.5,0.49,0.49,0.48,0.46,0.43,0.42,0.42
whitebit,0.42,0.42,0.41,0.41,0.36,0.35,0.35,0.34,0.33,0.29,0.28,0.28
bitget,0.38,0.38,0.37,0.37,0.32,0.31,0.31,0.31,0.29,0.25,0.24,0.24
coinsbit,0.37,0.37,0.37,0.37,0.31,0.3,0.3,0.3,0.28,0.24,0.23,0.23
mxc,0.35,0.35,0.34,0.34,0.29,0.28,0.28,0.27,0.26,0.22,0.21,0.21
coinbasepro,0.32,0.31,0.31,0.31,0.25,0.24,0.24,0.24,0.22,0.18,0.17,0.17
gateio,0.32,0.31,0.31,0.31,0.25,0.24,0.24,0.24,0.22,0.18,0.17,0.17
lbank,0.32,0.31,0.31,0.31,0.25,0.24,0.24,0.24,0.22,0.18,0.17,0.17
latoken,0.31,0.3,0.3,0.3,0.24,0.23,0.23,0.23,0.21,0.17,0.16,0.16
poloniex,0.28,0.27,0.27,0.27,0.22,0.21,0.21,0.2,0.18,0.15,0.14,0.14
