,probit,bitmax,latoken,coinbasepro,kraken,nonkyc,xeggex,binance-us,whitebit,lbank,btcturk-pro,gateio
coinsbit,5.37,0.7,0.58,0.54,0.54,0.53,0.47,0.46,0.44,0.42,0.31,0.27
bitrue,5.26,0.58,0.47,0.43,0.43,0.42,0.35,0.35,0.33,0.31,0.2,0.16
bybit-spot,5.25,0.57,0.45,0.41,0.41,0.4,0.34,0.33,0.31,0.29,0.18,0.14
coinw,5.24,0.56,0.45,0.41,0.41,0.4,0.33,0.33,0.31,0.29,0.17,0.13
btse,5.24,0.56,0.44,0.4,0.4,0.39,0.33,0.32,0.3,0.28,0.17,0.13
crypto-com,5.23,0.55,0.44,0.4,0.4,0.39,0.32,0.32,0.3,0.28,0.16,0.12
okx,5.23,0.55,0.44,0.4,0.4,0.39,0.32,0.32,0.3,0.28,0.16,0.12
bingx,5.23,0.54,0.43,0.39,0.39,0.38,0.32,0.31,0.29,0.27,0.16,0.12
phemex-spot,5.23,0.54,0.43,0.39,0.39,0.38,0.32,0.31,0.29,0.27,0.16,0.12
mxc,5.23,0.54,0.43,0.39,0.39,0.38,0.32,0.31,0.29,0.27,0.16,0.12
tidex,5.23,0.54,0.43,0.39,0.39,0.38,0.32,0.31,0.29,0.27,0.16,0.12
p2pb2b,5.23,0.54,0.43,0.39,0.39,0.38,0.32,0.31,0.29,0.27,0.16,0.12
