,coinsbit,bitmax,latoken,xeggex,kraken,coinex,mxc,bigone,coinbasepro,binance-us,coinlist,bybit-spot
nonkyc,0.72,0.65,0.61,0.5,0.38,0.32,0.26,0.26,0.26,0.26,0.26,0.25
phemex-spot,0.61,0.54,0.51,0.39,0.27,0.22,0.16,0.16,0.16,0.16,0.15,0.15
lbank,0.57,0.51,0.47,0.35,0.23,0.18,0.12,0.12,0.12,0.12,0.11,0.11
probit,0.53,0.47,0.43,0.32,0.2,0.14,0.08,0.08,0.08,0.08,0.07,0.07
btcturk-pro,0.53,0.47,0.43,0.32,0.2,0.14,0.08,0.08,0.08,0.08,0.07,0.07
poloniex,0.53,0.47,0.43,0.32,0.2,0.14,0.08,0.08,0.08,0.08,0.07,0.07
btse,0.51,0.44,0.4,0.29,0.17,0.11,0.05,0.05,0.05,0.05,0.04,0.04
bingx,0.49,0.43,0.39,0.28,0.16,0.1,0.04,0.04,0.04,0.04,0.03,0.03
bitrue,0.49,0.43,0.39,0.28,0.16,0.1,0.04,0.04,0.04,0.04,0.03,0.03
gateio,0.49,0.43,0.39,0.28,0.16,0.1,0.04,0.04,0.04,0.04,0.03,0.03
tidex,0.49,0.43,0.39,0.28,0.16,0.1,0.04,0.04,0.04,0.04,0.03,0.03
bydfi,0.49,0.43,0.39,0.28,0.16,0.1,0.04,0.04,0.04,0.04,0.03,0.03
