,coinex,bitmart,kraken,whitebit,probit,binance-us,poloniex,mxc,bigone,xeggex,tidex,latoken
coinsbit,0.8,0.77,0.77,0.75,0.74,0.74,0.73,0.7,0.7,0.68,0.67,0.67
phemex-spot,0.46,0.44,0.44,0.41,0.4,0.4,0.39,0.36,0.36,0.34,0.33,0.33
lbank,0.46,0.44,0.44,0.41,0.4,0.4,0.39,0.36,0.36,0.34,0.33,0.33
nonkyc,0.43,0.4,0.4,0.38,0.37,0.37,0.36,0.33,0.33,0.31,0.29,0.29
p2pb2b,0.42,0.4,0.4,0.37,0.36,0.36,0.35,0.33,0.33,0.31,0.29,0.29
bydfi,0.39,0.36,0.36,0.34,0.33,0.33,0.32,0.29,0.29,0.27,0.25,0.25
bitget,0.36,0.33,0.33,0.31,0.3,0.3,0.29,0.26,0.26,0.24,0.23,0.23
digifinex,0.35,0.33,0.33,0.3,0.29,0.29,0.28,0.26,0.26,0.24,0.22,0.22
coinbasepro,0.35,0.33,0.33,0.3,0.29,0.29,0.28,0.25,0.25,0.23,0.22,0.22
kucoin,0.35,0.32,0.32,0.3,0.29,0.29,0.28,0.25,0.25,0.23,0.21,0.21
crypto-com,0.34,0.32,0.32,0.29,0.28,0.28,0.27,0.25,0.25,0.23,0.21,0.21
okx,0.32,0.29,0.29,0.27,0.26,0.26,0.25,0.22,0.22,0.2,0.19,0.19
