,coinbasepro,xeggex,latoken,nonkyc,btcturk-pro,coinsbit,binance-us,poloniex,okx,crypto-com,probit,kucoin
bitmax,0.75,0.68,0.62,0.5,0.47,0.43,0.4,0.39,0.38,0.36,0.36,0.33
digifinex,0.74,0.67,0.61,0.49,0.46,0.42,0.39,0.38,0.37,0.35,0.35,0.32
bitget,0.64,0.57,0.51,0.39,0.36,0.32,0.28,0.27,0.27,0.25,0.25,0.22
phemex-spot,0.61,0.54,0.48,0.35,0.32,0.29,0.25,0.24,0.23,0.22,0.22,0.19
lbank,0.61,0.54,0.48,0.35,0.32,0.29,0.25,0.24,0.23,0.22,0.22,0.19
bitmart,0.54,0.46,0.41,0.28,0.25,0.21,0.18,0.17,0.16,0.15,0.14,0.12
kraken,0.54,0.46,0.41,0.28,0.25,0.21,0.18,0.17,0.16,0.15,0.14,0.12
gateio,0.5,0.43,0.37,0.25,0.22,0.18,0.14,0.13,0.13,0.11,0.11,0.08
bybit-spot,0.49,0.41,0.35,0.23,0.2,0.16,0.13,0.12,0.11,0.09,0.09,0.06
coinw,0.48,0.41,0.35,0.23,0.2,0.16,0.12,0.11,0.11,0.09,0.09,0.06
bingx,0.47,0.39,0.33,0.21,0.18,0.14,0.11,0.1,0.09,0.08,0.07,0.04
bigone,0.47,0.39,0.33,0.21,0.18,0.14,0.11,0.1,0.09,0.08,0.07,0.04
