,xeggex,bitmax,binance-us,okx,bitfinex,coinbasepro,fmfwio,bitget,kucoin,binance,crypto-com,whitebit
btse,1.92,1.28,1.28,1.19,1.16,1.15,1.12,1.03,1.01,0.96,0.89,0.88
whitebit,1.05,0.41,0.41,0.31,0.29,0.28,0.24,0.15,0.13,0.08,0.01,1.04
crypto-com,0.39,0.39,0.3,0.27,0.27,0.23,0.14,0.12,0.07,-0.01,0.97,0.33
binance,0.33,0.23,0.2,0.2,0.16,0.07,0.05,-0.07,-0.08,0.92,0.28,0.28
kucoin,0.18,0.16,0.15,0.11,0.02,-0.05,-0.12,-0.13,0.9,0.26,0.26,0.16
bitget,0.14,0.13,0.09,-0.02,-0.07,-0.14,-0.15,0.81,0.16,0.16,0.07,0.04
fmfwio,0.04,-0.09,-0.11,-0.16,-0.23,-0.25,0.77,0.13,0.13,0.03,0.005,-0.04
coinbasepro,-0.13,-0.15,-0.2,-0.27,-0.28,0.77,0.12,0.12,0.03,-0.005,-0.04,-0.14
bitfinex,-0.16,-0.21,-0.27,-0.29,0.74,0.09,0.09,-0.03,-0.03,-0.07,-0.16,-0.18
okx,-0.23,-0.3,-0.32,0.65,0.0,-0.09,-0.12,-0.13,-0.16,-0.26,-0.28,-0.33
binance-us,-0.39,-0.41,0.65,0.0,-0.09,-0.12,-0.13,-0.16,-0.26,-0.28,-0.33,-0.39
bitmax,-0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
