,bitmax,coinsbit,kucoin,coinbasepro,coinw,btse,bydfi,latoken,crypto-com,bybit-spot,tidex,mxc
nonkyc,1.48,1.33,1.18,1.16,1.16,1.15,1.13,1.13,1.12,1.11,1.1,1.09
btcturk-pro,1.38,1.22,1.07,1.05,1.05,1.04,1.02,1.02,1.01,1.0,0.99,0.98
bitget,1.34,1.19,1.03,1.02,1.02,1.0,0.98,0.98,0.97,0.97,0.96,0.95
p2pb2b,1.23,1.08,0.92,0.91,0.91,0.89,0.87,0.87,0.86,0.86,0.85,0.84
whitebit,1.22,1.06,0.91,0.9,0.89,0.88,0.86,0.86,0.85,0.84,0.83,0.82
digifinex,1.21,1.05,0.9,0.88,0.88,0.87,0.85,0.85,0.84,0.83,0.82,0.81
poloniex,1.2,1.04,0.89,0.88,0.87,0.86,0.84,0.84,0.83,0.82,0.81,0.8
coinlist,1.12,0.97,0.81,0.8,0.8,0.78,0.76,0.76,0.76,0.75,0.74,0.73
binance,1.09,0.93,0.78,0.76,0.76,0.75,0.73,0.73,0.72,0.71,0.7,0.69
fmfwio,0.99,0.84,0.69,0.67,0.67,0.66,0.64,0.64,0.63,0.62,0.61,0.6
xeggex,0.98,0.83,0.67,0.66,0.66,0.64,0.62,0.62,0.61,0.61,0.6,0.59
bingx,0.98,0.82,0.67,0.65,0.65,0.64,0.62,0.62,0.61,0.6,0.59,0.58
