,whitebit,fmfwio,binance,tidex,gateio,kucoin,bitrue,phemex-spot,bingx,btse,kraken,probit
coinbasepro,1.79,1.75,1.74,1.71,1.64,1.64,1.64,1.64,1.64,1.62,1.57,1.57
xeggex,1.66,1.62,1.61,1.58,1.51,1.51,1.51,1.51,1.51,1.49,1.44,1.44
latoken,1.48,1.43,1.43,1.4,1.32,1.32,1.32,1.32,1.32,1.31,1.25,1.25
bitmax,1.2,1.15,1.15,1.12,1.04,1.04,1.04,1.04,1.04,1.03,0.97,0.97
coinsbit,1.14,1.09,1.08,1.05,0.98,0.98,0.98,0.98,0.98,0.97,0.91,0.91
p2pb2b,0.99,0.95,0.94,0.91,0.84,0.84,0.84,0.84,0.84,0.82,0.77,0.77
bybit-spot,0.88,0.84,0.83,0.8,0.73,0.73,0.73,0.73,0.73,0.71,0.66,0.66
btcturk-pro,0.85,0.81,0.8,0.77,0.7,0.7,0.7,0.7,0.7,0.68,0.63,0.63
binance-us,0.82,0.77,0.76,0.74,0.66,0.66,0.66,0.66,0.66,0.65,0.59,0.59
lbank,0.78,0.74,0.73,0.7,0.63,0.63,0.63,0.63,0.63,0.61,0.56,0.56
bitmart,0.75,0.7,0.69,0.67,0.59,0.59,0.59,0.59,0.59,0.58,0.52,0.52
coinw,0.74,0.69,0.69,0.66,0.58,0.58,0.58,0.58,0.58,0.57,0.51,0.51
