,cex,nonkyc,bitmax,oceanex,binance,fastex,bingx,whitebit,bybit-spot,crypto-com,exmo,gateio
upbit,16.7,7.98,7.85,7.84,7.83,7.83,7.83,7.82,7.81,7.81,7.78,7.78
xeggex,9.97,0.54,0.4,0.39,0.38,0.38,0.38,0.37,0.36,0.36,0.33,0.32
kraken,9.9,0.46,0.31,0.3,0.3,0.3,0.29,0.29,0.28,0.27,0.24,0.24
phemex-spot,9.87,0.42,0.28,0.27,0.26,0.26,0.26,0.25,0.24,0.24,0.21,0.2
okx,9.83,0.38,0.24,0.22,0.22,0.22,0.22,0.21,0.2,0.19,0.16,0.16
binance-us,9.73,0.27,0.13,0.11,0.11,0.11,0.11,0.1,0.09,0.08,0.05,0.05
probit,9.72,0.26,0.12,0.11,0.1,0.1,0.1,0.09,0.08,0.08,0.05,0.04
bitget,9.72,0.26,0.12,0.11,0.1,0.1,0.1,0.09,0.08,0.07,0.05,0.04
digifinex,9.72,0.26,0.11,0.1,0.1,0.1,0.09,0.09,0.08,0.07,0.04,0.04
coinw,9.72,0.26,0.11,0.1,0.1,0.1,0.09,0.08,0.07,0.07,0.04,0.04
huobipro,9.71,0.25,0.11,0.1,0.09,0.09,0.09,0.08,0.07,0.07,0.04,0.03
kucoin,9.7,0.24,0.1,0.09,0.08,0.08,0.08,0.07,0.06,0.05,0.03,0.02
