,cex,nonkyc,oceanex,bitmax,gateio,phemex-spot,bydfi,bingx,bybit-spot,huobipro,bitget,probit
upbit,16.7,7.98,7.95,7.95,7.92,7.9,7.9,7.89,7.88,7.87,7.86,7.86
kraken,9.9,0.46,0.42,0.42,0.39,0.36,0.36,0.36,0.34,0.34,0.33,0.32
xeggex,9.86,0.41,0.38,0.38,0.35,0.32,0.32,0.32,0.3,0.29,0.29,0.28
coinw,9.73,0.27,0.24,0.24,0.21,0.18,0.18,0.18,0.16,0.15,0.15,0.14
digifinex,9.72,0.26,0.22,0.22,0.19,0.16,0.16,0.16,0.14,0.14,0.13,0.12
kucoin,9.7,0.24,0.21,0.2,0.18,0.15,0.15,0.14,0.13,0.12,0.11,0.11
bitrue,9.7,0.24,0.2,0.2,0.17,0.14,0.14,0.14,0.12,0.12,0.11,0.1
tidex,9.69,0.23,0.19,0.19,0.16,0.13,0.13,0.13,0.11,0.11,0.1,0.09
binance-us,9.67,0.2,0.17,0.17,0.14,0.11,0.11,0.11,0.09,0.08,0.08,0.07
crypto-com,9.65,0.19,0.15,0.15,0.12,0.09,0.09,0.09,0.07,0.07,0.06,0.05
whitebit,9.64,0.17,0.14,0.14,0.11,0.08,0.08,0.08,0.06,0.05,0.05,0.04
fastex,9.63,0.16,0.13,0.12,0.09,0.07,0.07,0.06,0.04,0.04,0.03,0.02
