,cex,xeggex,whitebit,nonkyc,phemex-spot,probit,bitrue,binance,okx,bybit-spot,fastex,kucoin
upbit,16.7,8.0,7.99,7.98,7.9,7.89,7.88,7.88,7.88,7.88,7.88,7.87
bitmax,9.7,0.26,0.24,0.24,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.12
kraken,9.69,0.25,0.24,0.23,0.14,0.13,0.12,0.11,0.11,0.11,0.11,0.11
tidex,9.65,0.21,0.19,0.18,0.09,0.08,0.07,0.07,0.07,0.07,0.07,0.06
bitget,9.63,0.19,0.17,0.17,0.07,0.06,0.06,0.05,0.05,0.05,0.05,0.05
crypto-com,9.63,0.19,0.17,0.16,0.07,0.06,0.05,0.05,0.05,0.05,0.05,0.04
huobipro,9.63,0.19,0.17,0.16,0.07,0.06,0.05,0.05,0.05,0.05,0.05,0.04
binance-us,9.63,0.18,0.17,0.16,0.07,0.06,0.05,0.04,0.04,0.04,0.04,0.04
bydfi,9.63,0.18,0.17,0.16,0.07,0.06,0.05,0.04,0.04,0.04,0.04,0.04
digifinex,9.63,0.18,0.17,0.16,0.07,0.06,0.05,0.04,0.04,0.04,0.04,0.04
gateio,9.62,0.18,0.16,0.15,0.06,0.05,0.04,0.04,0.04,0.04,0.04,0.03
oceanex,9.61,0.17,0.15,0.14,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.02
