,cex,xeggex,bybit-spot,nonkyc,kucoin,crypto-com,tidex,binance,bydfi,fastex,bingx,probit
upbit,16.7,1.22,1.03,1.0,0.99,0.98,0.96,0.96,0.96,0.96,0.94,0.9
binance-us,16.2,0.71,0.52,0.49,0.48,0.47,0.45,0.45,0.45,0.45,0.43,0.39
oceanex,16.1,0.62,0.43,0.4,0.39,0.38,0.36,0.36,0.36,0.36,0.34,0.3
kraken,16.0,0.45,0.26,0.23,0.22,0.21,0.19,0.19,0.19,0.19,0.17,0.13
okx,16.0,0.45,0.26,0.23,0.22,0.21,0.19,0.19,0.19,0.19,0.17,0.13
gateio,16.0,0.45,0.26,0.23,0.22,0.21,0.19,0.19,0.19,0.19,0.17,0.13
bitmax,16.0,0.43,0.24,0.21,0.2,0.19,0.17,0.17,0.17,0.17,0.15,0.11
phemex-spot,16.0,0.41,0.21,0.18,0.18,0.17,0.15,0.14,0.14,0.14,0.13,0.08
digifinex,16.0,0.4,0.21,0.18,0.17,0.17,0.14,0.14,0.14,0.14,0.13,0.08
coinw,16.0,0.4,0.2,0.17,0.17,0.16,0.14,0.13,0.13,0.13,0.12,0.07
bitget,16.0,0.4,0.2,0.17,0.17,0.16,0.14,0.13,0.13,0.13,0.12,0.07
whitebit,16.0,0.4,0.2,0.17,0.17,0.16,0.14,0.13,0.13,0.13,0.12,0.07
