,cex,upbit,kraken,bybit-spot,digifinex,binance,bitmax,bydfi,kucoin,bingx,gateio,nonkyc
xeggex,8.3,6.57,0.47,0.44,0.39,0.39,0.38,0.36,0.35,0.33,0.33,0.29
bitrue,8.26,6.54,0.44,0.41,0.35,0.35,0.34,0.32,0.31,0.3,0.29,0.25
fastex,8.25,6.53,0.43,0.4,0.34,0.34,0.33,0.31,0.3,0.29,0.28,0.24
probit,8.2,6.47,0.37,0.34,0.28,0.28,0.27,0.25,0.24,0.23,0.22,0.18
whitebit,8.18,6.46,0.35,0.32,0.26,0.26,0.25,0.23,0.22,0.21,0.2,0.16
tidex,8.17,6.45,0.34,0.31,0.26,0.25,0.25,0.23,0.22,0.2,0.19,0.16
binance-us,8.15,6.42,0.31,0.28,0.23,0.23,0.22,0.2,0.19,0.17,0.16,0.13
okx,8.15,6.42,0.31,0.28,0.23,0.23,0.22,0.2,0.19,0.17,0.16,0.13
exmo,8.14,6.41,0.3,0.27,0.21,0.21,0.2,0.18,0.18,0.16,0.15,0.11
oceanex,8.13,6.41,0.3,0.27,0.21,0.21,0.2,0.18,0.17,0.16,0.15,0.11
crypto-com,8.13,6.41,0.3,0.27,0.21,0.21,0.2,0.18,0.17,0.16,0.15,0.11
phemex-spot,8.12,6.4,0.29,0.25,0.2,0.2,0.19,0.17,0.16,0.14,0.14,0.1
