,cex,nonkyc,upbit,bingx,bydfi,phemex-spot,digifinex,gateio,coinw,fastex,binance-us,bitrue
xeggex,4.88,0.6,0.53,0.5,0.48,0.48,0.45,0.45,0.43,0.43,0.43,0.41
okx,4.69,0.4,0.33,0.3,0.27,0.27,0.25,0.24,0.22,0.22,0.22,0.2
oceanex,4.65,0.36,0.29,0.26,0.23,0.23,0.21,0.2,0.18,0.18,0.18,0.17
tidex,4.62,0.33,0.26,0.23,0.21,0.21,0.18,0.18,0.15,0.15,0.15,0.14
kraken,4.62,0.33,0.26,0.23,0.21,0.21,0.18,0.18,0.15,0.15,0.15,0.14
binance,4.58,0.29,0.22,0.19,0.16,0.16,0.14,0.13,0.11,0.11,0.11,0.1
crypto-com,4.57,0.28,0.21,0.18,0.15,0.15,0.13,0.12,0.1,0.1,0.1,0.08
bybit-spot,4.55,0.26,0.19,0.16,0.14,0.14,0.11,0.11,0.08,0.08,0.08,0.07
probit,4.54,0.24,0.17,0.14,0.12,0.12,0.09,0.09,0.07,0.07,0.07,0.05
kucoin,4.54,0.24,0.17,0.14,0.12,0.12,0.09,0.09,0.06,0.06,0.06,0.05
bitget,4.54,0.24,0.17,0.14,0.12,0.12,0.09,0.09,0.06,0.06,0.06,0.05
bitmax,4.53,0.23,0.16,0.13,0.11,0.11,0.08,0.08,0.05,0.05,0.05,0.04
