,oceanex,binance,nonkyc,bingx,bitget,gateio,whitebit,tidex,bybit-spot,huobipro,exmo,bitrue
cex,2.96,2.93,2.93,2.92,2.9,2.83,2.8,2.79,2.71,2.7,2.7,2.67
xeggex,0.67,0.65,0.65,0.64,0.62,0.55,0.51,0.5,0.43,0.42,0.41,0.39
bitmax,0.55,0.53,0.53,0.52,0.5,0.43,0.39,0.38,0.3,0.29,0.29,0.26
kraken,0.52,0.5,0.49,0.48,0.46,0.39,0.35,0.34,0.27,0.26,0.26,0.23
kucoin,0.48,0.46,0.45,0.44,0.42,0.35,0.32,0.31,0.23,0.22,0.22,0.19
okx,0.48,0.46,0.45,0.44,0.42,0.35,0.31,0.3,0.23,0.22,0.22,0.19
upbit,0.47,0.45,0.45,0.44,0.42,0.35,0.31,0.3,0.22,0.21,0.21,0.18
digifinex,0.42,0.4,0.39,0.38,0.36,0.29,0.26,0.25,0.17,0.16,0.16,0.13
probit,0.4,0.38,0.37,0.36,0.34,0.27,0.24,0.23,0.15,0.14,0.14,0.11
crypto-com,0.39,0.37,0.36,0.35,0.34,0.27,0.23,0.22,0.14,0.13,0.13,0.1
phemex-spot,0.38,0.35,0.35,0.34,0.32,0.25,0.21,0.2,0.13,0.12,0.11,0.09
binance-us,0.35,0.33,0.32,0.31,0.3,0.23,0.19,0.18,0.1,0.09,0.09,0.06
