,binance-us,xeggex,nonkyc,bitmax,exmo,coinw,huobipro,kucoin,whitebit,okx,bingx,bitrue
cex,3.93,3.85,3.78,3.61,3.58,3.49,3.49,3.48,3.48,3.47,3.47,3.46
upbit,1.47,1.39,1.31,1.15,1.11,1.02,1.02,1.01,1.01,1.0,1.0,0.99
phemex-spot,0.83,0.74,0.67,0.5,0.46,0.37,0.37,0.36,0.36,0.35,0.35,0.34
digifinex,0.82,0.74,0.66,0.5,0.46,0.37,0.37,0.36,0.35,0.35,0.35,0.34
bitget,0.78,0.7,0.62,0.46,0.42,0.33,0.33,0.32,0.31,0.31,0.31,0.3
oceanex,0.78,0.69,0.62,0.45,0.41,0.33,0.32,0.32,0.31,0.3,0.3,0.29
bydfi,0.78,0.69,0.62,0.45,0.41,0.32,0.32,0.31,0.31,0.3,0.3,0.29
probit,0.71,0.63,0.55,0.39,0.35,0.26,0.26,0.25,0.24,0.24,0.24,0.23
crypto-com,0.7,0.61,0.54,0.37,0.33,0.25,0.24,0.24,0.23,0.22,0.22,0.21
bybit-spot,0.68,0.59,0.52,0.35,0.31,0.22,0.22,0.21,0.21,0.2,0.2,0.19
kraken,0.58,0.5,0.42,0.26,0.22,0.13,0.13,0.12,0.11,0.11,0.11,0.1
tidex,0.55,0.46,0.39,0.22,0.18,0.1,0.09,0.09,0.08,0.07,0.07,0.06
