,upbit,cex,bitmax,bitrue,whitebit,crypto-com,binance,fastex,phemex-spot,coinw,digifinex,bybit-spot
binance-us,8.7,2.18,1.23,1.12,1.12,1.11,1.11,1.11,1.08,1.07,1.07,1.05
kraken,8.17,1.62,0.65,0.55,0.54,0.54,0.53,0.53,0.51,0.5,0.5,0.48
tidex,8.11,1.56,0.59,0.49,0.48,0.48,0.47,0.47,0.45,0.44,0.44,0.42
nonkyc,8.06,1.51,0.54,0.44,0.43,0.43,0.42,0.42,0.4,0.39,0.38,0.37
okx,8.06,1.51,0.54,0.44,0.43,0.43,0.42,0.42,0.4,0.39,0.38,0.37
xeggex,8.01,1.45,0.48,0.38,0.37,0.37,0.36,0.36,0.33,0.33,0.32,0.31
oceanex,7.93,1.37,0.4,0.3,0.29,0.29,0.28,0.28,0.26,0.25,0.24,0.23
bitget,7.87,1.3,0.33,0.23,0.22,0.22,0.21,0.21,0.19,0.18,0.18,0.16
bydfi,7.84,1.27,0.31,0.2,0.19,0.19,0.18,0.18,0.16,0.15,0.15,0.13
bingx,7.76,1.18,0.22,0.11,0.11,0.1,0.09,0.09,0.07,0.06,0.06,0.04
exmo,7.76,1.18,0.21,0.11,0.1,0.1,0.09,0.09,0.07,0.06,0.06,0.04
gateio,7.75,1.17,0.2,0.1,0.09,0.09,0.08,0.08,0.06,0.05,0.04,0.03
