,upbit,cex,xeggex,digifinex,exmo,bybit-spot,binance-us,coinw,kraken,bitget,huobipro,bitmax
nonkyc,8.12,1.57,0.54,0.52,0.49,0.41,0.36,0.34,0.33,0.31,0.28,0.27
probit,8.07,1.51,0.48,0.45,0.42,0.35,0.29,0.27,0.27,0.25,0.22,0.21
crypto-com,8.04,1.48,0.46,0.43,0.4,0.32,0.27,0.25,0.24,0.22,0.19,0.18
phemex-spot,7.99,1.43,0.4,0.37,0.34,0.26,0.21,0.19,0.18,0.16,0.14,0.12
bydfi,7.97,1.4,0.37,0.34,0.32,0.24,0.18,0.17,0.16,0.14,0.11,0.1
bitrue,7.95,1.39,0.36,0.33,0.3,0.22,0.17,0.15,0.15,0.12,0.1,0.08
whitebit,7.95,1.39,0.36,0.33,0.3,0.22,0.17,0.15,0.14,0.12,0.09,0.08
kucoin,7.94,1.38,0.35,0.32,0.29,0.21,0.16,0.14,0.13,0.11,0.09,0.07
fastex,7.94,1.38,0.35,0.32,0.29,0.21,0.16,0.14,0.13,0.11,0.08,0.07
okx,7.94,1.38,0.35,0.32,0.29,0.21,0.16,0.14,0.13,0.11,0.08,0.07
binance,7.94,1.38,0.35,0.32,0.29,0.21,0.16,0.14,0.13,0.11,0.08,0.07
tidex,7.92,1.36,0.33,0.3,0.27,0.19,0.14,0.12,0.11,0.09,0.06,0.05
