,upbit,binance-us,nonkyc,cex,xeggex,exmo,kucoin,crypto-com,gateio,phemex-spot,digifinex,whitebit
probit,7.68,1.44,1.1,1.1,0.92,0.8,0.79,0.75,0.72,0.71,0.71,0.7
bitget,7.66,1.42,1.08,1.08,0.9,0.78,0.77,0.73,0.7,0.7,0.69,0.69
binance,7.63,1.38,1.04,1.04,0.86,0.74,0.73,0.69,0.66,0.65,0.65,0.64
bingx,7.59,1.34,1.0,1.0,0.82,0.7,0.69,0.65,0.62,0.61,0.61,0.6
kraken,7.2,0.92,0.58,0.58,0.4,0.28,0.27,0.24,0.2,0.2,0.19,0.19
huobipro,7.2,0.92,0.58,0.58,0.4,0.28,0.27,0.24,0.2,0.2,0.19,0.19
oceanex,7.19,0.91,0.57,0.57,0.39,0.27,0.25,0.22,0.19,0.18,0.18,0.17
okx,7.14,0.86,0.52,0.52,0.34,0.22,0.2,0.17,0.14,0.13,0.13,0.12
coinw,7.08,0.79,0.45,0.45,0.27,0.15,0.14,0.1,0.07,0.06,0.06,0.05
bitmax,7.07,0.78,0.44,0.44,0.26,0.14,0.13,0.09,0.06,0.05,0.05,0.04
fastex,7.07,0.78,0.44,0.44,0.26,0.14,0.13,0.09,0.06,0.05,0.05,0.04
bybit-spot,7.07,0.78,0.44,0.44,0.26,0.14,0.13,0.09,0.06,0.05,0.05,0.04
