,nonkyc,kucoin,bydfi,gateio,exmo,whitebit,binance,oceanex,bingx,probit,phemex-spot,bitrue
upbit,4.85,2.71,2.68,2.68,2.65,2.64,2.63,2.6,2.56,2.56,2.53,2.52
cex,3.09,0.91,0.88,0.88,0.84,0.83,0.83,0.8,0.75,0.75,0.73,0.72
binance-us,2.86,0.67,0.65,0.64,0.61,0.6,0.59,0.56,0.52,0.51,0.49,0.48
bitmax,2.77,0.58,0.55,0.55,0.51,0.51,0.5,0.47,0.43,0.42,0.4,0.39
bybit-spot,2.58,0.39,0.36,0.36,0.32,0.32,0.31,0.28,0.24,0.23,0.21,0.2
huobipro,2.57,0.38,0.35,0.35,0.31,0.31,0.3,0.27,0.23,0.22,0.2,0.19
digifinex,2.53,0.34,0.31,0.31,0.27,0.27,0.26,0.23,0.19,0.18,0.16,0.15
okx,2.51,0.31,0.28,0.28,0.25,0.24,0.23,0.2,0.16,0.15,0.13,0.12
coinw,2.5,0.31,0.28,0.28,0.24,0.24,0.23,0.2,0.16,0.15,0.13,0.12
bitget,2.49,0.29,0.26,0.26,0.22,0.22,0.21,0.18,0.14,0.13,0.11,0.1
fastex,2.46,0.26,0.23,0.23,0.19,0.19,0.18,0.15,0.11,0.1,0.08,0.07
tidex,2.46,0.26,0.23,0.23,0.19,0.19,0.18,0.15,0.11,0.1,0.08,0.07
