,bigone,btse,fastex,oceanex,binance,bybit-spot,bingx,kucoin,probit,bitrue,huobipro,bitget
phemex-spot,1.57,0.61,0.58,0.58,0.57,0.56,0.55,0.51,0.49,0.49,0.48,0.48
poloniex,1.45,0.49,0.46,0.46,0.45,0.44,0.43,0.4,0.38,0.37,0.36,0.36
cryptology,1.4,0.43,0.41,0.4,0.39,0.39,0.38,0.34,0.32,0.31,0.31,0.3
latoken,1.36,0.4,0.37,0.37,0.36,0.35,0.34,0.3,0.28,0.27,0.27,0.27
okx,1.35,0.38,0.36,0.35,0.34,0.34,0.33,0.29,0.27,0.26,0.26,0.25
nonkyc,1.31,0.35,0.32,0.31,0.31,0.3,0.29,0.25,0.23,0.22,0.22,0.22
xeggex,1.19,0.22,0.2,0.19,0.18,0.18,0.17,0.13,0.11,0.1,0.1,0.09
binance-us,1.17,0.2,0.18,0.17,0.16,0.16,0.15,0.11,0.09,0.08,0.08,0.07
digifinex,1.13,0.17,0.14,0.13,0.12,0.12,0.11,0.07,0.05,0.04,0.04,0.03
mxc,1.12,0.16,0.13,0.12,0.11,0.11,0.1,0.06,0.04,0.03,0.03,0.02
tidex,1.12,0.15,0.12,0.12,0.11,0.11,0.1,0.06,0.04,0.03,0.03,0.02
bydfi,1.11,0.14,0.11,0.11,0.1,0.1,0.08,0.05,0.03,0.02,0.01,0.01
