,bigone,xeggex,fastex,bydfi,digifinex,kucoin,mxc,probit,bitmart,bybit-spot,btse,bingx
nonkyc,1.5,0.51,0.43,0.43,0.43,0.43,0.42,0.42,0.41,0.41,0.41,0.41
latoken,1.28,0.29,0.21,0.21,0.21,0.2,0.19,0.19,0.19,0.18,0.18,0.18
bitmax,1.23,0.24,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.13,0.13
gateio,1.23,0.24,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.13,0.13
poloniex,1.23,0.24,0.16,0.16,0.16,0.15,0.14,0.14,0.14,0.13,0.13,0.13
phemex-spot,1.22,0.22,0.15,0.15,0.15,0.14,0.13,0.13,0.12,0.12,0.12,0.12
okx,1.22,0.22,0.15,0.15,0.15,0.14,0.13,0.13,0.12,0.12,0.12,0.12
binance-us,1.2,0.21,0.13,0.13,0.13,0.12,0.11,0.11,0.1,0.1,0.1,0.1
cryptology,1.16,0.16,0.09,0.09,0.09,0.08,0.07,0.07,0.06,0.06,0.06,0.06
oceanex,1.14,0.15,0.07,0.07,0.07,0.06,0.05,0.05,0.04,0.04,0.04,0.04
tidex,1.12,0.12,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.02
bitget,1.11,0.12,0.04,0.04,0.04,0.03,0.02,0.02,0.02,0.01,0.01,0.01
