,bigone,bitmart,tidex,oceanex,bydfi,digifinex,cryptology,mxc,bingx,huobipro,btse,bitget
xeggex,1.46,0.25,0.23,0.21,0.2,0.2,0.19,0.18,0.18,0.17,0.17,0.16
nonkyc,1.45,0.24,0.22,0.2,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.15
binance-us,1.44,0.23,0.21,0.19,0.18,0.18,0.17,0.16,0.16,0.16,0.15,0.15
latoken,1.39,0.19,0.16,0.14,0.13,0.13,0.12,0.11,0.11,0.11,0.1,0.1
bybit-spot,1.39,0.19,0.16,0.14,0.13,0.13,0.12,0.11,0.11,0.11,0.1,0.1
binance,1.39,0.19,0.16,0.14,0.13,0.13,0.12,0.11,0.11,0.11,0.1,0.1
kucoin,1.38,0.17,0.15,0.13,0.12,0.12,0.11,0.1,0.1,0.1,0.09,0.09
probit,1.38,0.17,0.15,0.13,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.08
bitmax,1.35,0.14,0.12,0.09,0.08,0.08,0.08,0.06,0.06,0.06,0.05,0.05
gateio,1.35,0.14,0.12,0.09,0.08,0.08,0.08,0.06,0.06,0.06,0.05,0.05
poloniex,1.34,0.14,0.11,0.09,0.08,0.08,0.07,0.06,0.06,0.06,0.05,0.05
phemex-spot,1.33,0.12,0.1,0.08,0.06,0.06,0.06,0.05,0.05,0.04,0.04,0.03
