,nonkyc,bitmax,phemex-spot,tidex,gateio,probit,kucoin,binance,bitmart,bingx,cryptology,okx
xeggex,0.59,0.25,0.23,0.21,0.2,0.19,0.19,0.18,0.18,0.18,0.17,0.17
mxc,0.56,0.21,0.2,0.18,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.13
oceanex,0.48,0.14,0.12,0.1,0.09,0.08,0.08,0.07,0.07,0.07,0.06,0.05
fastex,0.48,0.13,0.12,0.1,0.08,0.08,0.08,0.07,0.07,0.06,0.05,0.05
binance-us,0.48,0.13,0.12,0.1,0.08,0.08,0.08,0.07,0.07,0.06,0.05,0.05
bybit-spot,0.47,0.13,0.11,0.09,0.08,0.07,0.07,0.06,0.06,0.06,0.05,0.05
btse,0.47,0.13,0.11,0.09,0.08,0.07,0.07,0.06,0.06,0.06,0.05,0.04
poloniex,0.47,0.12,0.1,0.08,0.07,0.07,0.06,0.05,0.05,0.05,0.04,0.04
latoken,0.46,0.12,0.1,0.08,0.07,0.06,0.06,0.05,0.05,0.05,0.04,0.03
bitget,0.45,0.1,0.09,0.07,0.05,0.05,0.05,0.04,0.04,0.04,0.03,0.02
bydfi,0.44,0.1,0.08,0.06,0.05,0.04,0.04,0.03,0.03,0.03,0.02,0.02
bitrue,0.44,0.1,0.08,0.06,0.05,0.04,0.04,0.03,0.03,0.03,0.02,0.02
