,xeggex,bitrue,binance,bitmax,bingx,btse,kucoin,oceanex,bydfi,fastex,bybit-spot,bitget
binance-us,0.66,0.62,0.55,0.55,0.53,0.52,0.52,0.51,0.51,0.51,0.5,0.5
nonkyc,0.44,0.4,0.33,0.33,0.31,0.3,0.3,0.29,0.29,0.29,0.28,0.28
bitmart,0.37,0.34,0.26,0.26,0.25,0.24,0.23,0.23,0.22,0.22,0.22,0.21
latoken,0.32,0.28,0.21,0.21,0.19,0.18,0.18,0.17,0.17,0.17,0.16,0.16
digifinex,0.3,0.26,0.19,0.19,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.14
mxc,0.28,0.25,0.17,0.17,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.12
okx,0.28,0.25,0.17,0.17,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.12
tidex,0.26,0.22,0.15,0.15,0.13,0.12,0.12,0.11,0.11,0.11,0.1,0.1
bigone,0.24,0.21,0.13,0.13,0.12,0.11,0.11,0.1,0.1,0.1,0.09,0.08
huobipro,0.19,0.15,0.08,0.08,0.06,0.05,0.05,0.05,0.04,0.04,0.04,0.03
phemex-spot,0.18,0.15,0.08,0.08,0.06,0.05,0.05,0.04,0.04,0.04,0.03,0.02
gateio,0.18,0.15,0.08,0.08,0.06,0.05,0.05,0.04,0.04,0.04,0.03,0.02
