,bigone,bitrue,digifinex,probit,fastex,poloniex,tidex,okx,phemex-spot,bybit-spot,binance,gateio
binance-us,0.64,0.53,0.51,0.51,0.51,0.5,0.49,0.49,0.49,0.48,0.47,0.47
nonkyc,0.45,0.34,0.32,0.32,0.32,0.31,0.3,0.3,0.3,0.29,0.28,0.28
xeggex,0.35,0.23,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.18,0.18,0.18
latoken,0.3,0.19,0.17,0.17,0.17,0.17,0.15,0.15,0.15,0.14,0.13,0.13
cryptology,0.24,0.13,0.11,0.11,0.11,0.11,0.09,0.09,0.09,0.08,0.08,0.08
bitget,0.24,0.13,0.11,0.11,0.11,0.11,0.09,0.09,0.09,0.08,0.07,0.07
btse,0.24,0.12,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.07,0.07,0.07
kucoin,0.2,0.09,0.07,0.07,0.07,0.07,0.05,0.05,0.05,0.04,0.03,0.03
bitmart,0.19,0.08,0.06,0.06,0.06,0.06,0.04,0.04,0.04,0.03,0.02,0.02
huobipro,0.19,0.08,0.06,0.06,0.06,0.06,0.04,0.04,0.04,0.03,0.02,0.02
bitmax,0.19,0.08,0.06,0.06,0.06,0.05,0.04,0.04,0.04,0.02,0.02,0.02
bydfi,0.19,0.08,0.06,0.06,0.06,0.05,0.04,0.04,0.04,0.02,0.02,0.02
