,bitmax,digifinex,kucoin,btse,bydfi,okx,bitrue,fastex,huobipro,bitget,cryptology,binance
bigone,1.85,1.85,1.85,1.84,1.83,1.81,1.81,1.81,1.8,1.8,1.79,1.76
latoken,0.76,0.76,0.76,0.76,0.74,0.73,0.73,0.73,0.71,0.71,0.71,0.68
binance-us,0.67,0.67,0.67,0.66,0.65,0.63,0.63,0.63,0.62,0.62,0.61,0.58
nonkyc,0.34,0.34,0.34,0.33,0.32,0.3,0.3,0.3,0.29,0.29,0.28,0.25
probit,0.22,0.22,0.22,0.22,0.2,0.19,0.19,0.19,0.17,0.17,0.17,0.14
mxc,0.21,0.21,0.2,0.2,0.19,0.17,0.17,0.17,0.16,0.16,0.15,0.12
gateio,0.21,0.21,0.2,0.2,0.19,0.17,0.17,0.17,0.16,0.16,0.15,0.12
phemex-spot,0.19,0.19,0.19,0.18,0.17,0.15,0.15,0.15,0.14,0.14,0.13,0.1
bitmart,0.19,0.19,0.19,0.18,0.17,0.15,0.15,0.15,0.14,0.14,0.13,0.1
tidex,0.18,0.18,0.18,0.18,0.17,0.15,0.15,0.15,0.14,0.13,0.13,0.1
poloniex,0.18,0.18,0.18,0.18,0.17,0.15,0.15,0.15,0.14,0.13,0.13,0.1
xeggex,0.15,0.15,0.15,0.14,0.13,0.11,0.11,0.11,0.1,0.1,0.09,0.06
