,xeggex,nonkyc,bitget,mxc,phemex-spot,bitmart,bybit-spot,cryptology,bitrue,bingx,binance,kucoin
bigone,1.13,1.03,1.02,1.0,1.0,0.98,0.98,0.98,0.96,0.95,0.94,0.94
latoken,0.62,0.52,0.51,0.49,0.49,0.47,0.47,0.47,0.45,0.44,0.44,0.43
binance-us,0.42,0.33,0.32,0.29,0.29,0.27,0.27,0.27,0.26,0.24,0.24,0.23
huobipro,0.26,0.17,0.16,0.13,0.13,0.11,0.11,0.11,0.1,0.08,0.08,0.07
bydfi,0.25,0.16,0.15,0.12,0.12,0.1,0.1,0.1,0.09,0.07,0.07,0.06
tidex,0.25,0.16,0.15,0.12,0.12,0.1,0.1,0.1,0.09,0.07,0.07,0.06
probit,0.23,0.13,0.12,0.1,0.1,0.08,0.08,0.08,0.06,0.05,0.05,0.04
btse,0.23,0.13,0.12,0.1,0.1,0.08,0.08,0.08,0.06,0.05,0.04,0.04
gateio,0.22,0.12,0.11,0.09,0.09,0.07,0.07,0.07,0.05,0.04,0.03,0.03
okx,0.22,0.12,0.11,0.09,0.09,0.07,0.07,0.07,0.05,0.04,0.03,0.03
bitmax,0.22,0.12,0.11,0.09,0.09,0.07,0.07,0.07,0.05,0.04,0.03,0.03
poloniex,0.22,0.12,0.11,0.09,0.09,0.07,0.07,0.07,0.05,0.04,0.03,0.03
