,xeggex,bitmax,bitrue,kucoin,okx,bybit-spot,bitmart,bitget,tidex,bydfi,fastex,binance
latoken,1.2,1.13,1.12,1.09,1.08,1.08,1.07,1.05,1.05,1.05,1.05,1.03
bigone,0.81,0.75,0.73,0.71,0.7,0.7,0.69,0.67,0.67,0.67,0.67,0.65
binance-us,0.59,0.53,0.51,0.48,0.48,0.48,0.46,0.45,0.44,0.44,0.44,0.43
nonkyc,0.28,0.22,0.2,0.18,0.17,0.17,0.15,0.14,0.13,0.13,0.13,0.12
probit,0.28,0.22,0.2,0.17,0.17,0.17,0.15,0.14,0.13,0.13,0.13,0.12
digifinex,0.2,0.14,0.12,0.09,0.09,0.08,0.07,0.05,0.05,0.05,0.05,0.03
cryptology,0.2,0.14,0.12,0.09,0.08,0.08,0.07,0.05,0.05,0.05,0.05,0.03
btse,0.19,0.13,0.11,0.09,0.08,0.08,0.06,0.05,0.05,0.05,0.05,0.03
bingx,0.18,0.12,0.1,0.08,0.07,0.07,0.05,0.04,0.04,0.04,0.04,0.02
phemex-spot,0.18,0.12,0.1,0.08,0.07,0.07,0.05,0.04,0.03,0.03,0.03,0.02
mxc,0.18,0.12,0.1,0.08,0.07,0.07,0.05,0.04,0.03,0.03,0.03,0.02
poloniex,0.18,0.12,0.1,0.07,0.07,0.06,0.05,0.04,0.03,0.03,0.03,0.02
