,nonkyc,xeggex,gateio,mxc,bitrue,poloniex,btse,bitmart,kucoin,bingx,bitget,okx
latoken,0.48,0.46,0.37,0.35,0.32,0.28,0.28,0.27,0.27,0.26,0.26,0.25
binance-us,0.44,0.42,0.33,0.31,0.28,0.24,0.24,0.23,0.23,0.22,0.22,0.21
cryptology,0.41,0.39,0.3,0.28,0.25,0.21,0.21,0.2,0.2,0.19,0.19,0.18
bydfi,0.32,0.3,0.21,0.19,0.15,0.12,0.11,0.11,0.11,0.1,0.1,0.09
tidex,0.31,0.29,0.19,0.18,0.14,0.1,0.1,0.1,0.09,0.09,0.09,0.07
bitmax,0.3,0.28,0.19,0.17,0.14,0.1,0.1,0.09,0.09,0.08,0.08,0.07
phemex-spot,0.29,0.26,0.17,0.15,0.12,0.08,0.08,0.07,0.07,0.07,0.07,0.05
binance,0.29,0.26,0.17,0.15,0.12,0.08,0.08,0.07,0.07,0.07,0.07,0.05
digifinex,0.27,0.25,0.15,0.14,0.1,0.06,0.06,0.06,0.05,0.05,0.05,0.03
bybit-spot,0.26,0.24,0.15,0.13,0.1,0.06,0.06,0.05,0.05,0.04,0.04,0.03
huobipro,0.26,0.24,0.14,0.13,0.09,0.05,0.05,0.04,0.04,0.04,0.04,0.02
bigone,0.25,0.23,0.13,0.12,0.08,0.04,0.04,0.04,0.03,0.03,0.03,0.01
