,xeggex,bigone,bitmax,digifinex,mxc,tidex,bydfi,probit,btse,huobipro,binance,bitget
nonkyc,0.78,0.73,0.7,0.7,0.68,0.66,0.64,0.64,0.62,0.61,0.61,0.61
latoken,0.68,0.63,0.6,0.6,0.58,0.57,0.55,0.54,0.52,0.52,0.51,0.51
binance-us,0.49,0.44,0.41,0.41,0.39,0.37,0.35,0.35,0.33,0.32,0.32,0.32
bitmart,0.27,0.23,0.19,0.19,0.17,0.16,0.14,0.13,0.11,0.11,0.1,0.1
poloniex,0.25,0.2,0.17,0.17,0.15,0.13,0.12,0.11,0.09,0.09,0.08,0.08
okx,0.22,0.17,0.14,0.14,0.12,0.11,0.09,0.08,0.06,0.06,0.05,0.05
cryptology,0.21,0.16,0.13,0.13,0.11,0.09,0.07,0.07,0.05,0.04,0.04,0.04
bybit-spot,0.2,0.15,0.12,0.12,0.1,0.08,0.07,0.06,0.04,0.04,0.03,0.03
phemex-spot,0.19,0.14,0.11,0.11,0.09,0.07,0.05,0.05,0.03,0.02,0.02,0.02
bitrue,0.19,0.14,0.11,0.11,0.09,0.07,0.05,0.05,0.03,0.02,0.02,0.02
gateio,0.19,0.14,0.11,0.11,0.09,0.07,0.05,0.05,0.03,0.02,0.02,0.02
bingx,0.19,0.14,0.1,0.1,0.09,0.07,0.05,0.05,0.02,0.02,0.02,0.02
