,btse,bingx,bitmax,bitmart,tidex,probit,binance-us,poloniex,okx,phemex-spot,latoken,kucoin
bybit-spot,0.37,0.34,0.28,0.27,0.27,0.25,0.25,0.25,0.23,0.23,0.23,0.23
cryptology,0.36,0.33,0.28,0.26,0.26,0.25,0.24,0.24,0.23,0.23,0.23,0.23
nonkyc,0.36,0.33,0.27,0.26,0.25,0.24,0.24,0.24,0.22,0.22,0.22,0.22
digifinex,0.31,0.28,0.23,0.21,0.21,0.2,0.19,0.19,0.18,0.18,0.18,0.18
xeggex,0.3,0.27,0.22,0.2,0.2,0.18,0.18,0.18,0.16,0.16,0.16,0.16
binance,0.3,0.27,0.21,0.2,0.19,0.18,0.18,0.17,0.16,0.16,0.16,0.16
huobipro,0.29,0.26,0.2,0.19,0.19,0.17,0.17,0.17,0.15,0.15,0.15,0.15
bydfi,0.21,0.18,0.12,0.11,0.11,0.09,0.09,0.09,0.07,0.07,0.07,0.07
gateio,0.19,0.16,0.11,0.09,0.09,0.07,0.07,0.07,0.05,0.05,0.05,0.05
fastex,0.17,0.14,0.09,0.07,0.07,0.06,0.05,0.05,0.04,0.04,0.04,0.03
mxc,0.17,0.14,0.09,0.07,0.07,0.06,0.05,0.05,0.04,0.04,0.04,0.03
bitrue,0.17,0.14,0.09,0.07,0.07,0.06,0.05,0.05,0.04,0.04,0.04,0.03
