,latoken,xeggex,nonkyc,bitmax,phemex-spot,digifinex,bybit-spot,tidex,okx,bydfi,gateio,cryptology
bitget,0.79,0.78,0.73,0.66,0.63,0.59,0.59,0.59,0.58,0.56,0.56,0.55
poloniex,0.79,0.77,0.72,0.66,0.63,0.59,0.59,0.59,0.57,0.56,0.56,0.55
binance-us,0.78,0.76,0.71,0.65,0.61,0.58,0.58,0.57,0.56,0.54,0.54,0.54
probit,0.75,0.73,0.68,0.62,0.59,0.55,0.55,0.55,0.53,0.52,0.52,0.51
fastex,0.74,0.72,0.67,0.61,0.58,0.54,0.54,0.54,0.53,0.51,0.51,0.5
binance,0.72,0.71,0.66,0.6,0.56,0.53,0.52,0.52,0.51,0.49,0.49,0.48
bingx,0.72,0.7,0.65,0.59,0.55,0.52,0.52,0.51,0.5,0.48,0.48,0.48
bigone,0.49,0.47,0.42,0.36,0.32,0.29,0.29,0.28,0.27,0.25,0.25,0.25
huobipro,0.44,0.42,0.37,0.31,0.28,0.24,0.24,0.24,0.22,0.21,0.21,0.2
bitmart,0.34,0.33,0.27,0.21,0.18,0.14,0.14,0.14,0.13,0.11,0.11,0.1
btse,0.28,0.26,0.21,0.15,0.12,0.08,0.08,0.08,0.06,0.05,0.05,0.04
kucoin,0.27,0.25,0.2,0.14,0.11,0.07,0.07,0.07,0.05,0.04,0.04,0.03
