,latoken,nonkyc,bigone,bitmax,binance,bydfi,phemex-spot,tidex,bitget,cryptology,xeggex,bingx
binance-us,0.85,0.82,0.8,0.77,0.73,0.71,0.71,0.7,0.7,0.69,0.68,0.68
huobipro,0.31,0.28,0.26,0.22,0.18,0.17,0.17,0.15,0.15,0.15,0.14,0.13
bitmart,0.3,0.27,0.25,0.21,0.18,0.16,0.16,0.14,0.14,0.14,0.13,0.12
bybit-spot,0.28,0.25,0.23,0.2,0.16,0.14,0.14,0.13,0.13,0.12,0.12,0.11
bitrue,0.26,0.23,0.21,0.17,0.14,0.12,0.12,0.1,0.1,0.1,0.09,0.09
digifinex,0.24,0.21,0.19,0.15,0.12,0.1,0.1,0.08,0.08,0.08,0.07,0.06
poloniex,0.23,0.2,0.18,0.14,0.11,0.09,0.09,0.07,0.07,0.07,0.06,0.06
probit,0.23,0.2,0.18,0.14,0.11,0.09,0.09,0.07,0.07,0.07,0.06,0.06
fastex,0.23,0.2,0.18,0.14,0.1,0.09,0.09,0.07,0.07,0.07,0.06,0.05
btse,0.22,0.19,0.17,0.13,0.1,0.08,0.08,0.06,0.06,0.06,0.05,0.05
mxc,0.21,0.18,0.16,0.12,0.09,0.07,0.07,0.05,0.05,0.05,0.04,0.03
okx,0.21,0.18,0.16,0.12,0.09,0.07,0.07,0.05,0.05,0.05,0.04,0.03
