,nonkyc,btcturk-pro,xeggex,coinsbit,kraken,okx,tidex,coinbasepro,bydfi,crypto-com,binance,bybit-spot
upbit,5.8,5.78,5.67,5.52,5.48,5.41,5.41,5.39,5.39,5.38,5.37,5.37
cex,1.12,1.09,0.99,0.83,0.78,0.71,0.71,0.69,0.69,0.68,0.66,0.66
bitrue,0.57,0.55,0.44,0.28,0.23,0.16,0.16,0.14,0.14,0.13,0.11,0.11
binance-us,0.55,0.52,0.42,0.26,0.21,0.14,0.14,0.11,0.11,0.11,0.09,0.09
gateio,0.55,0.52,0.42,0.26,0.21,0.14,0.14,0.11,0.11,0.11,0.09,0.09
btse,0.54,0.51,0.4,0.25,0.2,0.12,0.12,0.1,0.1,0.09,0.08,0.08
bitget,0.53,0.51,0.4,0.24,0.19,0.12,0.12,0.1,0.1,0.09,0.07,0.07
huobipro,0.52,0.5,0.39,0.23,0.18,0.11,0.11,0.09,0.09,0.08,0.07,0.07
bitmax,0.52,0.49,0.39,0.23,0.18,0.11,0.11,0.08,0.08,0.08,0.06,0.06
coinex,0.5,0.48,0.37,0.21,0.16,0.09,0.09,0.07,0.07,0.06,0.05,0.05
exmo,0.5,0.48,0.37,0.21,0.16,0.09,0.09,0.07,0.07,0.06,0.05,0.05
phemex-spot,0.5,0.48,0.37,0.21,0.16,0.09,0.09,0.07,0.07,0.06,0.05,0.05
