,nonkyc,bitmax,coinex,okx,oceanex,gateio,bybit-spot,exmo,binance,phemex-spot,coinsbit,p2pb2b
upbit,5.8,5.72,5.67,5.65,5.63,5.6,5.58,5.58,5.56,5.54,5.52,5.52
cex,1.12,1.04,0.98,0.96,0.94,0.91,0.89,0.89,0.87,0.85,0.83,0.82
xeggex,0.72,0.65,0.59,0.56,0.55,0.52,0.5,0.5,0.47,0.45,0.43,0.43
btcturk-pro,0.46,0.38,0.32,0.3,0.28,0.25,0.23,0.23,0.21,0.18,0.17,0.16
bitget,0.44,0.36,0.3,0.28,0.27,0.23,0.21,0.21,0.19,0.16,0.15,0.14
coinbasepro,0.44,0.36,0.3,0.27,0.26,0.23,0.21,0.21,0.18,0.16,0.14,0.14
kucoin,0.44,0.36,0.3,0.27,0.26,0.23,0.21,0.21,0.18,0.16,0.14,0.14
tidex,0.42,0.35,0.29,0.26,0.25,0.22,0.19,0.19,0.17,0.15,0.13,0.13
bydfi,0.41,0.33,0.27,0.25,0.24,0.21,0.18,0.18,0.16,0.14,0.12,0.11
mxc,0.41,0.33,0.27,0.25,0.24,0.21,0.18,0.18,0.16,0.14,0.12,0.11
huobipro,0.41,0.33,0.27,0.25,0.24,0.21,0.18,0.18,0.16,0.14,0.12,0.11
bitrue,0.37,0.29,0.23,0.21,0.19,0.16,0.14,0.14,0.11,0.09,0.08,0.07
