,xeggex,nonkyc,kraken,btse,binance,tidex,bitrue,exmo,bybit-spot,bingx,mxc,kucoin
upbit,5.91,5.82,5.67,5.66,5.65,5.65,5.65,5.64,5.63,5.63,5.6,5.6
cex,1.24,1.14,0.98,0.97,0.96,0.96,0.96,0.95,0.94,0.94,0.91,0.91
coinbasepro,0.55,0.46,0.29,0.29,0.27,0.27,0.27,0.26,0.25,0.25,0.23,0.23
gateio,0.46,0.36,0.2,0.19,0.18,0.18,0.18,0.17,0.16,0.16,0.14,0.14
oceanex,0.44,0.34,0.18,0.17,0.16,0.16,0.16,0.15,0.14,0.14,0.12,0.12
coinex,0.44,0.34,0.18,0.17,0.16,0.16,0.16,0.15,0.14,0.14,0.11,0.11
p2pb2b,0.42,0.32,0.16,0.15,0.14,0.14,0.14,0.13,0.11,0.11,0.09,0.09
coinsbit,0.41,0.31,0.15,0.14,0.13,0.13,0.13,0.12,0.11,0.11,0.08,0.08
btcturk-pro,0.39,0.3,0.13,0.13,0.11,0.11,0.11,0.1,0.09,0.09,0.07,0.07
phemex-spot,0.39,0.3,0.13,0.13,0.11,0.11,0.11,0.1,0.09,0.09,0.07,0.07
okx,0.39,0.3,0.13,0.13,0.11,0.11,0.11,0.1,0.09,0.09,0.07,0.07
bitget,0.38,0.28,0.12,0.11,0.1,0.1,0.1,0.09,0.07,0.07,0.05,0.05
