,cex,upbit,binance-us,nonkyc,mxc,btcturk-pro,gateio,fastex,coinsbit,xeggex,okx,kucoin
bydfi,6.82,1.05,0.37,0.35,0.32,0.32,0.3,0.3,0.16,0.16,0.15,0.15
bybit-spot,6.82,1.05,0.37,0.35,0.32,0.32,0.3,0.3,0.16,0.16,0.15,0.15
bitget,6.81,1.04,0.35,0.34,0.31,0.31,0.28,0.28,0.15,0.14,0.13,0.13
oceanex,6.79,1.02,0.33,0.32,0.28,0.28,0.26,0.26,0.13,0.12,0.11,0.11
bitmax,6.77,0.99,0.31,0.29,0.26,0.26,0.24,0.24,0.1,0.1,0.09,0.09
btse,6.76,0.99,0.31,0.29,0.26,0.26,0.23,0.23,0.1,0.09,0.09,0.09
bingx,6.75,0.98,0.3,0.28,0.25,0.25,0.22,0.22,0.09,0.08,0.07,0.07
binance,6.75,0.98,0.3,0.28,0.25,0.25,0.22,0.22,0.09,0.08,0.07,0.07
coinex,6.73,0.96,0.27,0.25,0.22,0.22,0.2,0.2,0.06,0.06,0.05,0.05
exmo,6.73,0.96,0.27,0.25,0.22,0.22,0.2,0.2,0.06,0.06,0.05,0.05
p2pb2b,6.73,0.96,0.27,0.25,0.22,0.22,0.2,0.2,0.06,0.06,0.05,0.05
kraken,6.71,0.93,0.25,0.23,0.2,0.2,0.18,0.18,0.04,0.04,0.03,0.03
