,upbit,bitmax,nonkyc,kraken,exmo,btcturk-pro,huobipro,fastex,btse,mxc,binance,oceanex
cex,3.94,2.0,1.99,1.87,1.84,1.81,1.8,1.79,1.78,1.76,1.74,1.72
xeggex,2.59,0.62,0.61,0.49,0.46,0.43,0.42,0.41,0.4,0.38,0.36,0.34
coinbasepro,2.46,0.49,0.48,0.36,0.33,0.3,0.29,0.28,0.26,0.25,0.23,0.21
binance-us,2.39,0.41,0.41,0.28,0.25,0.23,0.22,0.2,0.19,0.18,0.15,0.13
bydfi,2.39,0.41,0.41,0.28,0.25,0.23,0.22,0.2,0.19,0.18,0.15,0.13
bitget,2.38,0.4,0.4,0.27,0.24,0.22,0.21,0.19,0.18,0.17,0.14,0.12
tidex,2.36,0.39,0.38,0.26,0.23,0.2,0.19,0.18,0.16,0.15,0.13,0.11
bybit-spot,2.36,0.39,0.38,0.26,0.23,0.2,0.19,0.18,0.16,0.15,0.13,0.11
p2pb2b,2.36,0.39,0.38,0.26,0.23,0.2,0.19,0.18,0.16,0.15,0.13,0.11
phemex-spot,2.34,0.36,0.36,0.23,0.2,0.18,0.17,0.15,0.14,0.13,0.1,0.08
coinex,2.32,0.34,0.33,0.21,0.18,0.15,0.14,0.13,0.11,0.1,0.08,0.06
coinsbit,2.31,0.33,0.32,0.2,0.17,0.14,0.13,0.12,0.1,0.09,0.07,0.05
