,upbit,bitmax,kraken,kucoin,nonkyc,exmo,binance-us,coinbasepro,bybit-spot,bitget,bydfi,coinex
cex,10.8,5.79,5.73,5.66,5.58,5.57,5.57,5.57,5.55,5.53,5.52,5.52
coinsbit,5.97,0.74,0.68,0.6,0.52,0.51,0.51,0.51,0.48,0.47,0.46,0.46
xeggex,5.83,0.59,0.52,0.45,0.37,0.35,0.35,0.35,0.33,0.32,0.31,0.31
btcturk-pro,5.81,0.57,0.51,0.44,0.35,0.34,0.34,0.34,0.31,0.3,0.29,0.29
phemex-spot,5.65,0.4,0.34,0.27,0.18,0.17,0.17,0.17,0.15,0.13,0.12,0.12
oceanex,5.64,0.39,0.33,0.25,0.17,0.16,0.16,0.16,0.13,0.12,0.11,0.11
fastex,5.63,0.38,0.32,0.24,0.16,0.15,0.15,0.15,0.12,0.11,0.1,0.1
mxc,5.63,0.38,0.32,0.24,0.16,0.15,0.15,0.15,0.12,0.11,0.1,0.1
p2pb2b,5.63,0.38,0.32,0.24,0.16,0.15,0.15,0.15,0.12,0.11,0.1,0.1
tidex,5.62,0.37,0.31,0.24,0.15,0.14,0.14,0.14,0.12,0.1,0.09,0.09
bitrue,5.61,0.36,0.29,0.22,0.13,0.12,0.12,0.12,0.1,0.08,0.07,0.07
binance,5.61,0.36,0.29,0.22,0.13,0.12,0.12,0.12,0.1,0.08,0.07,0.07
