,bitmax,btse,tidex,xeggex,mxc,bybit-spot,huobipro,kraken,bydfi,phemex-spot,coinex,exmo
nonkyc,1.21,0.99,0.98,0.97,0.95,0.89,0.87,0.86,0.84,0.84,0.82,0.82
coinsbit,1.13,0.9,0.89,0.88,0.86,0.8,0.78,0.78,0.75,0.75,0.73,0.73
kucoin,0.54,0.3,0.29,0.29,0.27,0.2,0.19,0.18,0.16,0.16,0.14,0.14
bitget,0.52,0.29,0.28,0.27,0.25,0.19,0.17,0.16,0.14,0.14,0.12,0.12
bingx,0.51,0.28,0.27,0.27,0.25,0.18,0.17,0.16,0.14,0.14,0.11,0.11
p2pb2b,0.49,0.26,0.25,0.24,0.23,0.16,0.14,0.14,0.11,0.11,0.09,0.09
binance,0.49,0.26,0.25,0.24,0.23,0.16,0.14,0.14,0.11,0.11,0.09,0.09
crypto-com,0.48,0.25,0.24,0.23,0.22,0.15,0.13,0.13,0.1,0.1,0.08,0.08
oceanex,0.47,0.24,0.23,0.22,0.21,0.14,0.12,0.12,0.1,0.1,0.07,0.07
binance-us,0.47,0.24,0.23,0.22,0.2,0.14,0.12,0.11,0.09,0.09,0.07,0.07
coinbasepro,0.47,0.24,0.23,0.22,0.2,0.14,0.12,0.11,0.09,0.09,0.07,0.07
btcturk-pro,0.47,0.24,0.23,0.22,0.2,0.14,0.12,0.11,0.09,0.09,0.07,0.07
