,coinbasepro,bitmax,mxc,binance-us,okx,exmo,coinex,coinsbit,p2pb2b,fastex,kraken,huobipro
nonkyc,0.68,0.6,0.57,0.5,0.48,0.48,0.45,0.44,0.43,0.43,0.42,0.42
phemex-spot,0.52,0.44,0.41,0.34,0.32,0.32,0.29,0.28,0.27,0.27,0.26,0.26
xeggex,0.45,0.37,0.34,0.27,0.25,0.25,0.23,0.21,0.2,0.2,0.19,0.19
btcturk-pro,0.45,0.37,0.34,0.27,0.25,0.25,0.23,0.21,0.2,0.2,0.19,0.19
bitget,0.43,0.35,0.32,0.25,0.23,0.23,0.21,0.2,0.19,0.19,0.17,0.17
crypto-com,0.35,0.27,0.24,0.17,0.15,0.15,0.13,0.11,0.1,0.1,0.09,0.09
bitrue,0.34,0.26,0.23,0.16,0.14,0.14,0.11,0.1,0.09,0.09,0.08,0.08
bybit-spot,0.34,0.26,0.23,0.16,0.14,0.14,0.11,0.1,0.09,0.09,0.08,0.08
binance,0.34,0.26,0.23,0.16,0.14,0.14,0.11,0.1,0.09,0.09,0.08,0.08
bingx,0.32,0.24,0.2,0.14,0.11,0.11,0.09,0.08,0.07,0.07,0.06,0.06
bydfi,0.32,0.24,0.2,0.14,0.11,0.11,0.09,0.08,0.07,0.07,0.06,0.06
gateio,0.32,0.24,0.2,0.14,0.11,0.11,0.09,0.08,0.07,0.07,0.06,0.06
