,coinsbit,bitmax,xeggex,bydfi,coinbasepro,gateio,bitrue,bitget,mxc,oceanex,crypto-com,binance-us
btcturk-pro,1.85,1.33,1.26,1.02,1.02,0.97,0.97,0.95,0.93,0.93,0.91,0.91
exmo,1.47,0.94,0.87,0.63,0.63,0.59,0.59,0.56,0.54,0.54,0.52,0.52
tidex,1.43,0.9,0.83,0.59,0.59,0.55,0.55,0.52,0.5,0.5,0.48,0.48
binance,1.11,0.58,0.51,0.27,0.27,0.23,0.23,0.2,0.18,0.18,0.16,0.16
bybit-spot,1.08,0.56,0.49,0.25,0.25,0.2,0.2,0.18,0.16,0.16,0.14,0.14
phemex-spot,1.06,0.54,0.47,0.23,0.23,0.18,0.18,0.15,0.14,0.13,0.11,0.11
bingx,1.04,0.52,0.44,0.2,0.2,0.16,0.16,0.13,0.11,0.11,0.09,0.09
kucoin,1.04,0.52,0.44,0.2,0.2,0.16,0.16,0.13,0.11,0.11,0.09,0.09
kraken,1.02,0.5,0.43,0.19,0.19,0.14,0.14,0.11,0.09,0.09,0.07,0.07
okx,1.02,0.49,0.42,0.18,0.18,0.14,0.14,0.11,0.09,0.09,0.07,0.07
btse,1.01,0.48,0.41,0.17,0.17,0.13,0.13,0.1,0.08,0.08,0.06,0.06
huobipro,1.0,0.48,0.41,0.17,0.17,0.12,0.12,0.09,0.08,0.07,0.05,0.05
