,bitmax,nonkyc,binance-us,kucoin,bitget,huobipro,mxc,bydfi,coinex,oceanex,p2pb2b,gateio
btcturk-pro,0.86,0.67,0.53,0.49,0.48,0.47,0.46,0.46,0.46,0.45,0.44,0.44
xeggex,0.68,0.49,0.35,0.31,0.31,0.29,0.28,0.28,0.28,0.27,0.26,0.26
coinbasepro,0.63,0.43,0.3,0.25,0.25,0.24,0.23,0.23,0.23,0.22,0.21,0.21
coinsbit,0.63,0.43,0.3,0.25,0.25,0.23,0.23,0.23,0.23,0.21,0.21,0.21
kraken,0.55,0.35,0.22,0.17,0.17,0.15,0.15,0.15,0.15,0.13,0.12,0.12
fastex,0.54,0.34,0.21,0.16,0.16,0.14,0.14,0.14,0.14,0.12,0.12,0.12
bingx,0.54,0.34,0.21,0.16,0.16,0.14,0.14,0.14,0.14,0.12,0.12,0.12
bitrue,0.52,0.32,0.19,0.14,0.14,0.12,0.12,0.12,0.12,0.1,0.09,0.09
okx,0.52,0.32,0.19,0.14,0.14,0.12,0.12,0.12,0.12,0.1,0.09,0.09
binance,0.52,0.32,0.19,0.14,0.14,0.12,0.12,0.12,0.12,0.1,0.09,0.09
btse,0.5,0.31,0.17,0.13,0.12,0.11,0.1,0.1,0.1,0.09,0.08,0.08
exmo,0.47,0.27,0.14,0.09,0.09,0.08,0.07,0.07,0.07,0.05,0.05,0.05
