,whitebit,huobipro,exmo,bitmax,nonkyc,bitfinex,okx,kucoin,btse,pancakeswap-v3-bsc,bybit-spot
xeggex,1.07,0.79,0.61,0.62,0.57,0.57,0.5,0.5,0.5,0.49,0.49
tokenize-xchange,0.94,0.66,0.48,0.49,0.44,0.44,0.37,0.37,0.37,0.36,0.36
bitstamp,0.91,0.63,0.45,0.46,0.41,0.41,0.34,0.34,0.34,0.33,0.33
coinex,0.9,0.62,0.44,0.45,0.41,0.41,0.33,0.33,0.33,0.33,0.33
phemex-spot,0.89,0.62,0.43,0.45,0.4,0.4,0.33,0.33,0.33,0.32,0.32
coinbasepro,0.88,0.6,0.42,0.43,0.38,0.38,0.31,0.31,0.31,0.3,0.3
coinsbit,0.87,0.6,0.41,0.43,0.38,0.38,0.31,0.31,0.31,0.3,0.3
bydfi,0.87,0.59,0.41,0.42,0.38,0.38,0.3,0.3,0.3,0.3,0.3
pancake-swap,0.87,0.59,0.41,0.42,0.37,0.37,0.3,0.3,0.3,0.29,0.29
mxc,0.86,0.59,0.4,0.42,0.37,0.37,0.3,0.3,0.3,0.29,0.29
coinbasepro,0.86,0.58,0.4,0.41,0.37,0.36,0.29,0.29,0.29,0.29,0.28
binance,0.86,0.58,0.4,0.41,0.36,0.36,0.29,0.29,0.29,0.28,0.28
