,coinsbit,bitmax,nonkyc,p2pb2b,coinex,fastex,btse,bitget,okx,oceanex,bydfi,binance
btcturk-pro,0.84,0.83,0.75,0.72,0.72,0.72,0.71,0.66,0.65,0.58,0.56,0.54
coinbasepro,0.68,0.67,0.59,0.56,0.56,0.56,0.55,0.5,0.49,0.43,0.4,0.38
xeggex,0.67,0.67,0.58,0.55,0.55,0.55,0.54,0.49,0.49,0.42,0.4,0.37
binance-us,0.63,0.63,0.55,0.52,0.52,0.52,0.5,0.45,0.45,0.38,0.36,0.34
huobipro,0.51,0.5,0.42,0.39,0.39,0.39,0.38,0.33,0.32,0.26,0.23,0.21
kucoin,0.48,0.47,0.39,0.36,0.36,0.36,0.35,0.3,0.29,0.22,0.2,0.18
crypto-com,0.44,0.44,0.35,0.32,0.32,0.32,0.31,0.26,0.26,0.19,0.17,0.14
kraken,0.37,0.36,0.28,0.25,0.25,0.25,0.24,0.19,0.18,0.12,0.09,0.07
exmo,0.37,0.36,0.28,0.25,0.25,0.25,0.23,0.19,0.18,0.11,0.09,0.07
bitrue,0.37,0.36,0.28,0.25,0.25,0.25,0.23,0.19,0.18,0.11,0.09,0.07
mxc,0.37,0.36,0.28,0.25,0.25,0.25,0.23,0.19,0.18,0.11,0.09,0.07
bybit-spot,0.34,0.34,0.26,0.22,0.22,0.22,0.21,0.16,0.16,0.09,0.07,0.04
