,cex,poloniex,bybit-spot,phemex-spot,binance,binance-us,bitmax,btse,kraken,coinlist,probit,oceanex
bitmex-spot,13.5,1.63,1.56,1.56,1.55,1.54,1.52,1.51,1.5,1.49,1.49,1.49
btcturk-pro,12.6,0.65,0.58,0.58,0.57,0.56,0.54,0.53,0.52,0.51,0.51,0.5
nonkyc,12.5,0.55,0.48,0.47,0.47,0.46,0.44,0.43,0.42,0.41,0.41,0.4
okx,12.5,0.55,0.47,0.47,0.46,0.46,0.43,0.42,0.42,0.4,0.4,0.4
fmfwio,12.4,0.44,0.37,0.37,0.36,0.35,0.33,0.32,0.31,0.3,0.3,0.3
coinbasepro,12.4,0.38,0.31,0.31,0.3,0.29,0.27,0.26,0.25,0.24,0.24,0.24
bingx,12.3,0.27,0.19,0.19,0.19,0.18,0.16,0.15,0.14,0.13,0.13,0.12
coinex,12.2,0.2,0.13,0.13,0.12,0.12,0.09,0.08,0.07,0.06,0.06,0.06
bydfi,12.2,0.2,0.13,0.13,0.12,0.11,0.09,0.08,0.07,0.06,0.06,0.05
gateio,12.2,0.2,0.13,0.13,0.12,0.11,0.09,0.08,0.07,0.06,0.06,0.05
bitget,12.2,0.2,0.13,0.13,0.12,0.11,0.09,0.08,0.07,0.06,0.06,0.05
exmo,12.2,0.2,0.12,0.12,0.12,0.11,0.09,0.08,0.07,0.06,0.06,0.05
