,cex,okx,gateio,coinex,poloniex,oceanex,bitmax,bybit-spot,phemex-spot,binance,binance-us,btse
bitmex-spot,13.5,1.73,1.73,1.66,1.63,1.63,1.59,1.56,1.56,1.55,1.54,1.51
btcturk-pro,12.6,0.75,0.75,0.68,0.65,0.65,0.61,0.58,0.58,0.57,0.56,0.53
nonkyc,12.5,0.65,0.65,0.58,0.55,0.55,0.51,0.48,0.47,0.47,0.46,0.43
fmfwio,12.4,0.54,0.54,0.47,0.44,0.44,0.4,0.37,0.37,0.36,0.35,0.32
bingx,12.3,0.37,0.37,0.3,0.27,0.27,0.23,0.19,0.19,0.19,0.18,0.15
bydfi,12.2,0.3,0.3,0.23,0.2,0.2,0.16,0.13,0.13,0.12,0.11,0.08
bitget,12.2,0.3,0.3,0.23,0.2,0.2,0.16,0.13,0.13,0.12,0.11,0.08
exmo,12.2,0.3,0.3,0.23,0.2,0.19,0.15,0.12,0.12,0.12,0.11,0.08
crypto-com,12.2,0.29,0.29,0.22,0.19,0.18,0.14,0.11,0.11,0.11,0.1,0.07
huobipro,12.2,0.27,0.27,0.21,0.18,0.17,0.13,0.1,0.1,0.09,0.09,0.05
bitrue,12.2,0.27,0.27,0.2,0.17,0.17,0.13,0.09,0.09,0.09,0.08,0.05
kucoin,12.2,0.27,0.27,0.2,0.17,0.16,0.12,0.09,0.09,0.09,0.08,0.05
