,cex,nonkyc,probit,okx,kraken,crypto-com,bydfi,bitget,coinex,bitmax,bitrue,poloniex
bitmex-spot,13.5,1.95,1.71,1.66,1.66,1.65,1.65,1.65,1.65,1.64,1.64,1.63
btcturk-pro,12.6,0.97,0.73,0.68,0.68,0.67,0.67,0.67,0.67,0.66,0.66,0.65
binance-us,12.2,0.51,0.26,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.19
fmfwio,12.2,0.46,0.22,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.14
coinw,12.2,0.44,0.2,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.12
phemex-spot,12.2,0.44,0.19,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.12
binance,12.2,0.43,0.19,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.11
bingx,12.1,0.42,0.18,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.1
oceanex,12.1,0.42,0.17,0.13,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.09
exmo,12.1,0.42,0.17,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.09
kucoin,12.1,0.41,0.16,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09
coinlist,12.1,0.4,0.16,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.08
