,bitmex-spot,binance,bingx,oceanex,coinw,nonkyc,kucoin,exmo,bitget,bydfi,bitrue,bybit-spot
btcturk-pro,2.76,0.7,0.7,0.68,0.65,0.65,0.64,0.62,0.61,0.59,0.59,0.57
binance-us,2.66,0.6,0.6,0.58,0.55,0.54,0.54,0.52,0.5,0.49,0.48,0.47
coinbasepro,2.36,0.3,0.3,0.28,0.24,0.24,0.23,0.21,0.2,0.19,0.18,0.17
fmfwio,2.34,0.27,0.27,0.25,0.21,0.21,0.2,0.19,0.17,0.16,0.15,0.14
phemex-spot,2.31,0.24,0.24,0.22,0.19,0.19,0.18,0.16,0.14,0.13,0.13,0.11
crypto-com,2.31,0.24,0.24,0.22,0.19,0.19,0.18,0.16,0.14,0.13,0.13,0.11
kraken,2.3,0.24,0.24,0.22,0.18,0.18,0.17,0.15,0.14,0.13,0.12,0.11
okx,2.29,0.23,0.23,0.21,0.17,0.17,0.16,0.14,0.13,0.12,0.11,0.1
coinex,2.29,0.22,0.22,0.2,0.16,0.16,0.15,0.14,0.12,0.11,0.1,0.09
huobipro,2.29,0.22,0.22,0.2,0.16,0.16,0.15,0.14,0.12,0.11,0.1,0.09
btse,2.27,0.2,0.2,0.18,0.14,0.14,0.13,0.12,0.1,0.09,0.08,0.07
poloniex,2.26,0.19,0.19,0.18,0.14,0.14,0.13,0.11,0.1,0.09,0.08,0.06
