,poloniex,btcturk-pro,nonkyc,binance,exmo,crypto-com,coinex,coinw,bitget,kucoin,okx,oceanex
coinbasepro,0.8,0.77,0.75,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.65,0.64
probit,0.28,0.26,0.23,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.12
bitrue,0.24,0.22,0.19,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.09
bydfi,0.24,0.22,0.19,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.09
kraken,0.24,0.22,0.19,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.08
huobipro,0.24,0.22,0.19,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.08
bingx,0.24,0.21,0.19,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.08
bybit-spot,0.23,0.2,0.18,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.07
gateio,0.22,0.2,0.17,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.06
btse,0.22,0.19,0.17,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.06
binance-us,0.21,0.19,0.16,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.05
bitmax,0.19,0.17,0.14,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.03
