,poloniex,btse,bybit-spot,kraken,gateio,exmo,binance,bitget,coinex,oceanex,bitrue,binance-us
nonkyc,0.49,0.38,0.35,0.33,0.31,0.29,0.29,0.28,0.28,0.27,0.25,0.25
fmfwio,0.48,0.38,0.35,0.32,0.31,0.29,0.29,0.28,0.28,0.27,0.24,0.24
crypto-com,0.47,0.36,0.33,0.31,0.29,0.28,0.28,0.26,0.26,0.25,0.23,0.23
okx,0.46,0.36,0.33,0.3,0.28,0.27,0.27,0.26,0.26,0.25,0.22,0.22
bitmax,0.41,0.31,0.28,0.25,0.23,0.22,0.22,0.21,0.21,0.2,0.17,0.17
kucoin,0.38,0.27,0.24,0.22,0.2,0.19,0.19,0.18,0.17,0.16,0.14,0.14
btcturk-pro,0.38,0.27,0.24,0.22,0.2,0.19,0.19,0.18,0.17,0.16,0.14,0.14
phemex-spot,0.38,0.27,0.24,0.22,0.2,0.19,0.19,0.18,0.17,0.16,0.14,0.14
bydfi,0.32,0.21,0.18,0.16,0.14,0.13,0.12,0.11,0.11,0.1,0.08,0.08
coinbasepro,0.31,0.2,0.17,0.15,0.13,0.12,0.12,0.11,0.1,0.09,0.07,0.07
probit,0.3,0.2,0.17,0.14,0.13,0.11,0.11,0.1,0.1,0.09,0.06,0.06
bingx,0.3,0.2,0.17,0.14,0.12,0.11,0.11,0.1,0.1,0.09,0.06,0.06
