,coinbasepro,oceanex,fmfwio,exmo,coinex,kucoin,poloniex,btcturk-pro,okx,gateio,huobipro,bydfi
binance-us,0.89,0.46,0.45,0.45,0.42,0.41,0.4,0.4,0.38,0.34,0.34,0.33
phemex-spot,0.83,0.4,0.39,0.39,0.35,0.35,0.34,0.34,0.32,0.28,0.27,0.26
bitget,0.77,0.34,0.33,0.33,0.3,0.29,0.28,0.28,0.26,0.22,0.22,0.21
nonkyc,0.77,0.34,0.33,0.33,0.29,0.29,0.28,0.28,0.26,0.22,0.21,0.2
crypto-com,0.72,0.29,0.28,0.28,0.24,0.24,0.23,0.23,0.21,0.17,0.16,0.15
probit,0.72,0.28,0.28,0.27,0.24,0.24,0.23,0.23,0.21,0.16,0.16,0.15
bitmax,0.71,0.28,0.27,0.27,0.24,0.24,0.22,0.22,0.2,0.16,0.16,0.15
bybit-spot,0.68,0.25,0.24,0.24,0.2,0.2,0.19,0.19,0.17,0.13,0.12,0.11
kraken,0.67,0.24,0.23,0.23,0.2,0.2,0.18,0.18,0.16,0.12,0.12,0.11
bitrue,0.63,0.2,0.19,0.19,0.15,0.15,0.14,0.14,0.12,0.08,0.07,0.06
btse,0.62,0.19,0.18,0.18,0.15,0.15,0.14,0.14,0.11,0.07,0.07,0.06
bingx,0.61,0.17,0.17,0.17,0.13,0.13,0.12,0.12,0.1,0.06,0.05,0.04
