,coinbasepro,poloniex,binance-us,bydfi,gateio,crypto-com,oceanex,bitrue,kraken,bitget,kucoin,okx
exmo,0.76,0.71,0.69,0.66,0.65,0.58,0.56,0.54,0.53,0.46,0.43,0.42
fmfwio,0.53,0.48,0.46,0.43,0.42,0.35,0.33,0.31,0.3,0.23,0.19,0.19
probit,0.5,0.45,0.43,0.4,0.39,0.32,0.3,0.28,0.27,0.2,0.17,0.16
btcturk-pro,0.5,0.45,0.43,0.4,0.39,0.32,0.29,0.28,0.26,0.2,0.16,0.16
binance,0.49,0.43,0.42,0.38,0.38,0.31,0.28,0.26,0.25,0.18,0.15,0.15
nonkyc,0.48,0.42,0.41,0.37,0.37,0.3,0.27,0.25,0.24,0.17,0.14,0.14
phemex-spot,0.44,0.38,0.37,0.33,0.33,0.26,0.23,0.22,0.2,0.13,0.1,0.1
coinw,0.43,0.37,0.36,0.32,0.32,0.25,0.22,0.2,0.19,0.12,0.09,0.09
bybit-spot,0.4,0.35,0.33,0.3,0.29,0.22,0.19,0.18,0.16,0.1,0.06,0.06
bitmax,0.38,0.33,0.31,0.28,0.27,0.2,0.17,0.16,0.14,0.08,0.04,0.04
bingx,0.38,0.32,0.31,0.27,0.26,0.19,0.17,0.15,0.14,0.07,0.04,0.03
coinex,0.35,0.3,0.28,0.25,0.24,0.17,0.15,0.13,0.12,0.05,0.01,0.01
