,coinbasepro,btcturk-pro,kraken,bybit-spot,binance-us,coinw,exmo,poloniex,nonkyc,btse,bingx,coinex
bitmax,0.46,0.45,0.4,0.37,0.32,0.32,0.32,0.3,0.3,0.25,0.24,0.24
phemex-spot,0.35,0.33,0.28,0.26,0.21,0.2,0.2,0.19,0.18,0.14,0.13,0.13
crypto-com,0.34,0.33,0.27,0.25,0.2,0.2,0.2,0.18,0.18,0.13,0.12,0.12
bydfi,0.34,0.33,0.27,0.25,0.2,0.2,0.2,0.18,0.18,0.13,0.12,0.12
fmfwio,0.31,0.3,0.25,0.22,0.17,0.17,0.17,0.15,0.15,0.1,0.09,0.09
probit,0.31,0.29,0.24,0.22,0.16,0.16,0.16,0.15,0.14,0.1,0.09,0.09
bitrue,0.3,0.28,0.23,0.21,0.16,0.15,0.15,0.14,0.13,0.09,0.08,0.08
okx,0.3,0.28,0.23,0.21,0.16,0.15,0.15,0.14,0.13,0.09,0.08,0.08
bitget,0.3,0.28,0.23,0.21,0.15,0.15,0.15,0.14,0.13,0.09,0.08,0.08
kucoin,0.29,0.27,0.22,0.2,0.15,0.14,0.14,0.13,0.12,0.08,0.07,0.07
oceanex,0.28,0.26,0.21,0.19,0.14,0.13,0.13,0.12,0.11,0.07,0.06,0.06
binance,0.28,0.26,0.21,0.19,0.14,0.13,0.13,0.12,0.11,0.07,0.06,0.06
