,crypto-com,gateio,fmfwio,nonkyc,bydfi,kucoin,coinbasepro,poloniex,btse,binance,okx,coinw
binance-us,0.3,0.28,0.28,0.28,0.28,0.27,0.26,0.23,0.23,0.22,0.22,0.19
bitmax,0.29,0.28,0.28,0.28,0.27,0.26,0.26,0.23,0.22,0.22,0.22,0.18
btcturk-pro,0.28,0.26,0.26,0.26,0.26,0.25,0.24,0.21,0.2,0.2,0.2,0.17
exmo,0.21,0.19,0.19,0.19,0.19,0.18,0.17,0.14,0.13,0.13,0.13,0.1
bybit-spot,0.21,0.19,0.19,0.19,0.18,0.17,0.17,0.14,0.13,0.13,0.13,0.09
oceanex,0.17,0.15,0.15,0.15,0.15,0.14,0.13,0.1,0.1,0.09,0.09,0.06
kraken,0.16,0.14,0.14,0.14,0.14,0.13,0.12,0.09,0.08,0.08,0.08,0.05
huobipro,0.15,0.13,0.13,0.13,0.13,0.11,0.11,0.08,0.07,0.07,0.07,0.04
bitget,0.14,0.13,0.13,0.13,0.12,0.11,0.11,0.08,0.07,0.07,0.07,0.03
bitrue,0.14,0.13,0.12,0.12,0.12,0.11,0.1,0.07,0.07,0.06,0.06,0.03
phemex-spot,0.14,0.13,0.12,0.12,0.12,0.11,0.1,0.07,0.07,0.06,0.06,0.03
probit,0.14,0.12,0.12,0.12,0.12,0.11,0.1,0.07,0.06,0.06,0.06,0.03
