,bingx,binance,bybit-spot,phemex-spot,exmo,bitmax,binance-us,btcturk-pro,coinlist,p2pb2b,bigone,coinw
coinbasepro,0.69,0.68,0.67,0.66,0.63,0.62,0.6,0.57,0.55,0.54,0.51,0.51
okx,0.6,0.59,0.58,0.57,0.54,0.53,0.51,0.48,0.46,0.45,0.42,0.42
yobit,0.54,0.53,0.52,0.5,0.48,0.46,0.45,0.42,0.39,0.39,0.36,0.36
probit,0.48,0.48,0.46,0.45,0.42,0.41,0.4,0.36,0.34,0.33,0.31,0.31
xeggex,0.36,0.35,0.33,0.32,0.29,0.28,0.27,0.23,0.21,0.21,0.18,0.18
mxc,0.31,0.3,0.29,0.27,0.25,0.23,0.22,0.18,0.16,0.16,0.13,0.13
fmfwio,0.28,0.27,0.26,0.25,0.22,0.21,0.19,0.16,0.14,0.13,0.1,0.1
bitget,0.27,0.26,0.25,0.24,0.21,0.2,0.18,0.15,0.13,0.12,0.09,0.09
oceanex,0.27,0.26,0.25,0.23,0.21,0.19,0.18,0.14,0.12,0.12,0.09,0.09
kraken,0.27,0.26,0.25,0.23,0.21,0.19,0.18,0.14,0.12,0.12,0.09,0.09
bydfi,0.26,0.25,0.24,0.23,0.2,0.18,0.17,0.14,0.12,0.11,0.08,0.08
lbank,0.26,0.25,0.24,0.23,0.2,0.18,0.17,0.14,0.12,0.11,0.08,0.08
