,exmo,crypto-com,p2pb2b,tidex,fastex,bitmax,coinbasepro,coinlist,mxc,digifinex,phemex-spot,huobipro
probit,0.44,0.43,0.41,0.4,0.4,0.37,0.37,0.37,0.36,0.36,0.36,0.35
btcturk-pro,0.26,0.26,0.24,0.23,0.23,0.19,0.19,0.19,0.18,0.18,0.18,0.18
binance-us,0.24,0.24,0.22,0.21,0.21,0.18,0.18,0.18,0.17,0.17,0.17,0.16
bingx,0.21,0.2,0.18,0.18,0.18,0.14,0.14,0.14,0.13,0.13,0.13,0.12
binance,0.21,0.2,0.18,0.18,0.18,0.14,0.14,0.14,0.13,0.13,0.13,0.12
kucoin,0.19,0.18,0.17,0.16,0.16,0.12,0.12,0.12,0.11,0.11,0.11,0.1
bigone,0.18,0.17,0.16,0.15,0.15,0.11,0.11,0.11,0.1,0.1,0.1,0.1
oceanex,0.18,0.17,0.16,0.15,0.15,0.11,0.11,0.11,0.1,0.1,0.1,0.09
kraken,0.17,0.16,0.15,0.14,0.14,0.1,0.1,0.1,0.09,0.09,0.09,0.09
lbank,0.17,0.16,0.15,0.14,0.14,0.1,0.1,0.1,0.09,0.09,0.09,0.09
yobit,0.16,0.16,0.14,0.13,0.13,0.09,0.09,0.09,0.09,0.09,0.09,0.08
bitget,0.16,0.15,0.13,0.12,0.12,0.09,0.09,0.09,0.08,0.08,0.08,0.07
